INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
California State University-Fresno,3,0.5815,4983,NULL,16377,0.5407,0.4859,0.3628,6.5,16500,28781,43200
California State University-Fullerton,3,0.4579,5178,NULL,16663,0.4061,0.5347,0.3327,5.6,14718,31500,46500
California State University-East Bay,3,0.6872,9575,NULL,20676,0.4426,0.3808,0.3844,5.8,16312,22898,51300
California State University-Long Beach,3,0.3082,6672,NULL,18085,0.4733,0.6033,0.393,5.5,15775,30725,46900
California State University-Los Angeles,3,0.6752,3845,NULL,14747,0.6447,0.3565,0.3924,7.6,14125,20015,44900
California State University-Northridge,3,0.4624,9207,NULL,20899,0.4848,0.4575,0.3636,7.6,15000,27373,44200
California State University-Sacramento,3,0.6968,7652,NULL,19380,0.505,0.4285,0.4153,7.1,17250,28449,46500
University of California-Berkeley,3,0.18,8883,NULL,32715,0.3237,0.9103,0.3021,3.8,14667,39266,62700
University of California-Davis,3,0.4521,9965,NULL,31803,0.4297,0.8133,0.4467,3.8,15000,41894,57100
University of California-Irvine,3,0.4239,8521,NULL,28980,0.432,0.8585,0.4418,3.1,17414,50385,55800
University of California-Los Angeles,3,0.2199,9099,NULL,31474,0.3624,0.9031,0.374,2.2,15900,34557.5,59200
University of California-Riverside,3,0.62,7935,NULL,29787,0.564,0.6617,0.5688,6.1,19500,43078.5,48700
University of California-San Diego,3,0.375,9279,NULL,29751,0.4274,0.858,0.4731,2.9,19266,41248,59600
University of California-Santa Barbara,3,0.4444,9955,NULL,31913,0.3798,0.807,0.438,4.5,18057,51240,52000
University of California-Santa Cruz,3,0.5991,10442,NULL,33208,0.4459,0.7267,0.5586,5.7,19737.5,58508,44600
California Christian College,3,0.8333,NULL,11734,17109,0.5429,0.25,0.5429,17.1,NULL,13057,NULL
California Institute of the Arts,3,0.2992,NULL,37710,56435,0.3337,0.5746,0.6211,6.1,29400,29403.5,32500
California Maritime Academy,3,0.748,12144,NULL,22223,0.3762,0.5871,0.6043,5.8,26000,60317.5,81100
Chapman University,3,0.4471,NULL,24824,57020,0.2035,0.761,0.6536,3.5,20250,53889,51800
Concordia University-Irvine,3,0.9119,NULL,20220,41233,0.2503,0.6256,0.6231,3.5,21500,71434,42100
San Diego Christian College,3,0.492,NULL,24456,37696,0.6475,0.4125,0.8793,8.4,20249,51463,34400
Claremont McKenna College,3,0.1173,NULL,9073,60065,0.1163,0.9254,0.0862,0,14000,88986.5,63600
Cogswell College,3,0.7784,NULL,19830,32243,0.399,0.3125,0.6292,11.9,32875,48065.5,48500
Columbia College-Hollywood,3,0.548,NULL,23569,30642,0.4847,0.4912,0.7604,7.8,31000,38841,NULL
Design Institute of San Diego,3,NULL,NULL,23764,29477,0.5784,0.6667,0.7402,4.5,38087,34299,33900
Dominican University of California,3,0.7752,NULL,26491,56165,0.3232,0.5387,0.8516,4.7,27000,54367,51400
Fresno Pacific University,3,0.7844,NULL,12657,33973,0.5761,0.5412,0.6928,5.9,19205,44931.5,39700
Golden Gate University-San Francisco,3,NULL,NULL,NULL,NULL,0.3474,NULL,0.5912,3.5,28117.5,29724,64200
Harvey Mudd College,3,0.1817,NULL,8863,60613,0.1314,0.9082,0.4413,0,25696,86164.5,78600
Holy Names University,3,0.5668,NULL,9725,46994,0.4618,0.3548,0.8124,5.9,30750,45708,50100
Humboldt State University,3,0.8018,11212,NULL,23113,0.5162,0.4004,0.605,11.8,20250,26935.5,36200
Humphreys College-Stockton and Modesto Campuses,3,NULL,NULL,14195,21029,0.755,0.931,0.922,14.2,29168,22573,31300
John F Kennedy University,3,NULL,NULL,NULL,NULL,0.5127,NULL,0.8618,6.6,25000,31386,39500
American Jewish University,3,0.59,NULL,39083,46466,0.3071,0.8125,0.35,4.3,23250,54611,NULL
Life Pacific College,3,0.7482,NULL,15896,24492,0.3942,0.5111,0.5427,5.4,20600,45853,31200
The Art Institute of California-Argosy University San Diego,3,NULL,NULL,23548,30521,0.6185,0.4254,0.6776,19.4,14323,39753,38200
University of La Verne,3,0.3895,NULL,16254,45305,0.4647,0.5928,0.6816,3.8,25000,39519,52700
Laguna College of Art and Design,3,0.4327,NULL,35497,39713,0.4114,0.6333,0.7177,8.4,29500,47903,39800
Southern California Seminary,3,NULL,NULL,NULL,NULL,0.2469,0,0.8642,3.9,NULL,24866,NULL
La Sierra University,3,0.4677,NULL,19666,39842,0.4819,0.4918,0.6943,6.3,27000,51186,41300
Loma Linda University,3,NULL,NULL,NULL,NULL,0.2904,NULL,0.6732,3.1,21875,27587,72800
The Master's College and Seminary,3,0.6137,NULL,20307,40815,0.3051,0.5362,0.5335,2.5,20500,62514,40900
The Art Institute of California-Argosy University San Francisco,3,NULL,NULL,26353,33206,0.5993,0.3604,0.8111,19.4,14323,37488,38200
Loyola Marymount University,3,0.5412,NULL,24537,55432,0.1923,0.7583,0.4747,3.9,22299.5,76696,55600
Menlo College,3,0.3705,NULL,21289,51649,0.3333,0.4076,0.591,9.7,23250,54828,50600
Mills College,3,0.6798,NULL,19907,54668,0.4674,0.6142,0.7279,5.7,24500,35189.5,39000
Monterey Institute of International Studies,3,NULL,NULL,NULL,NULL,0.3636,NULL,0.5909,1.6,19500,8133,53400
Mount St Mary's College,3,0.7409,NULL,22699,47905,0.5875,0.6379,0.9203,5.8,25000,39973.5,50200
The National Hispanic University,3,NULL,NULL,16106,22545,0.598,0.4565,0.482,7.6,16950,30443,42900
National University,3,NULL,NULL,21715,23859,0.2681,0.3125,0.3903,7,28410.5,36632,54800
Newschool of Architecture and Design,3,0.7949,NULL,32445,43957,0.6144,0.35,0.7404,11.2,43417,37279,NULL
Notre Dame de Namur University,3,0.872,NULL,23072,47115,0.4201,0.4792,0.672,5.4,27000,55277,51300
Occidental College,3,0.4239,NULL,15024,60655,0.2131,0.8777,0.5333,2.2,21500,67714.5,50100
Otis College of Art and Design,3,0.4628,NULL,26966,52397,0.4851,0.5731,0.629,10.2,27000,36748,42000
Hope International University,3,0.4681,NULL,21736,40303,0.4989,0.4508,0.7576,6.3,25949.5,51464,35100
Palo Alto University,3,NULL,NULL,NULL,NULL,0.4588,NULL,0.6235,3.8,NULL,NULL,NULL
Pacific Oaks College,3,NULL,NULL,NULL,NULL,0.639,NULL,0.8636,8,19375,36319,39700
Pacific States University,3,NULL,NULL,30753,32140,0.1053,1,0.1053,18.1,NULL,NULL,NULL
Pacific Union College,3,0.5055,NULL,18276,38800,0.4393,0.4452,0.8453,5.7,28334,64885,48600
University of the Pacific,3,0.7265,NULL,22662,52406,0.4011,0.5669,0.6292,3.5,23500,40951,66400
Pepperdine University,3,0.3734,NULL,17784,58772,0.2076,0.8043,0.4412,2.2,27000,60331,61400
Pitzer College,3,0.1451,NULL,13021,59266,0.1614,0.8214,0.3625,3.1,15088,61408,45300
Point Loma Nazarene University,3,0.6654,NULL,23752,43060,0.2712,0.7208,0.641,2.5,24951,78964,50300
Pomona College,3,0.1392,NULL,4935,57014,0.1686,0.9573,0.1525,0,8600,63215,52600
Westwood College-South Bay,3,NULL,NULL,24954,29458,0.8437,0.5974,0.8134,17.6,38913,25040,34200
University of Redlands,3,0.672,NULL,19619,55268,0.2497,0.7295,0.6347,3,27000,69769,53800
Argosy University-San Francisco Bay Area,3,NULL,NULL,22538,27325,0.637,NULL,0.7945,19.4,14323,36072,38200
Samuel Merritt University,3,NULL,NULL,NULL,NULL,0.2003,NULL,0.8545,1.3,18750,20108,111500
San Diego State University,3,0.3121,7159,NULL,20252,0.3956,0.6616,0.3828,5.2,16460,37534,48700
University of San Diego,3,0.4885,NULL,21448,56346,0.1807,0.7502,0.4259,2.8,22500,69873.5,56300
San Francisco Art Institute,3,0.8269,NULL,40558,55809,0.3267,0.2881,1,4.3,24000,28394,24600
San Francisco Conservatory of Music,3,0.3986,NULL,22476,52260,0.3333,0.6852,0.5806,3.1,27000,67523,NULL
San Francisco State University,3,0.6379,10562,NULL,22267,0.4239,0.455,0.3997,7.2,17775,29962,46900
University of San Francisco,3,0.6129,NULL,23706,55812,0.2625,0.6901,0.5115,5.3,25000,70581,61000
William Jessup University,3,0.6929,NULL,13012,34811,0.4743,0.5614,0.8951,4.4,21500,56144,38600
San Jose State University,3,0.6347,10161,NULL,21160,0.3955,0.4809,0.3548,4.8,16251,27853.5,54600
Westwood College-Los Angeles,3,NULL,NULL,24908,29745,0.7521,0.35,0.8656,21.1,37655.5,17602.5,32200
