INSTNM,PREDDEG,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Mars Hill University,3,0.6447,NULL,17139,36669,0.7646,0.3818,0.8905,19.3,26750,50049,32800
Meredith College,3,0.6232,NULL,19966,39296,0.352,0.6242,0.6871,5.7,27000,56959.5,38400
Methodist University,3,0.6122,NULL,23148,45011,0.3904,0.4249,0.5739,11.2,NULL,45688.5,39600
Montreat College,3,0.5429,NULL,14785,33963,0.4119,0.419,0.6733,7.9,27000,51073,40800
Mount Olive College,3,0.4979,NULL,11089,26161,0.5005,0.3833,0.7001,10.3,26500,38102,39200
North Carolina A & T State University,3,0.6964,6966,NULL,15313,0.5878,0.4289,0.7788,18,23005.5,37668.5,33600
University of North Carolina at Asheville,3,0.6403,7798,NULL,17468,0.3187,0.5954,0.4633,7.3,20508,48654,36000
University of North Carolina at Chapel Hill,3,0.2759,6543,NULL,23069,0.2053,0.9002,0.3192,2.3,15906,64969.5,50400
University of North Carolina at Charlotte,3,0.6852,8710,NULL,17767,0.4046,0.539,0.5879,6.2,23005,51983,41700
University of North Carolina at Greensboro,3,0.6002,7880,NULL,17362,0.4432,0.5541,0.5872,7.5,22500,50195,37000
North Carolina Central University,3,0.5033,8995,NULL,17873,0.635,0.3972,0.8126,16.8,30203,29880,31600
University of North Carolina School of the Arts,3,0.4521,7155,NULL,19666,0.3132,0.5968,0.5711,6,26187.5,69633.5,30500
North Carolina State University at Raleigh,3,0.5001,6973,NULL,20511,0.2247,0.7359,0.424,4.1,20500,66351,47500
North Carolina Wesleyan College,3,0.4676,NULL,16974,36686,0.6787,0.332,0.8449,20.2,22920,38164.5,35900
University of North Carolina Wilmington,3,0.5419,8543,NULL,18165,0.2825,0.7099,0.5109,6.7,20624,63608.5,38700
William Peace University,3,0.9086,NULL,15692,37712,0.7155,0.3978,0.8851,9.2,25488,57299,35900
University of North Carolina at Pembroke,3,0.7204,8345,NULL,15784,0.5349,0.327,0.6704,15.9,21000,36289.5,33400
Pfeiffer University,3,0.9609,NULL,19506,34515,0.4393,0.4815,0.845,10.7,24180,49533,37500
Piedmont International University,3,0.4884,NULL,13544,22699,0.3941,0.4,0.4873,11.2,20500,39036,30700
Queens University of Charlotte,3,0.7686,NULL,20614,40930,0.3274,0.5207,0.6239,5.6,25000,45248.5,38600
Mid-Atlantic Christian University,3,0.4107,NULL,15476,24257,0.7,0.5862,0.8733,19.1,32445,47354,27600
Saint Augustine's University,3,0.6738,NULL,23723,31095,0.7454,0.2926,0.8594,37.3,37000,31823,28200
Salem College,3,0.582,NULL,12722,39859,0.564,0.6387,0.7915,6.9,23000,40939,33200
Shaw University,3,0.5449,NULL,18236,27079,0.7893,0.3044,0.9217,18.2,39748,25825,27400
St Andrews University,3,0.6448,NULL,14237,38467,0.417,0.4626,0.7319,16.7,20412.5,60464.5,35800
Southeastern Baptist Theological Seminary,3,0.6721,NULL,NULL,NULL,0,0.5556,0,0,NULL,NULL,NULL
Wake Forest University,3,0.352,NULL,26148,58260,0.1202,0.8646,0.3468,1.3,22810,103314,61000
Warren Wilson College,3,0.696,NULL,18728,41000,0.331,0.5064,0.588,6.3,21500,65481,25500
Wingate University,3,0.793,NULL,12930,35465,0.3824,0.5305,0.7468,7.3,25976.5,68642.5,37000
Carolina Christian College,3,NULL,NULL,5718,12300,0.4569,NULL,1,32.2,17875,36830,NULL
Winston-Salem State University,3,0.5565,7329,NULL,15990,0.572,0.4553,0.7249,16,27687,30559.5,33300
Western Carolina University,3,0.3766,8820,NULL,17805,0.3814,0.5108,0.5798,8.1,21249,55820,35100
Dickinson State University,3,0.4868,8102,NULL,13314,0.2341,0.3915,0.4273,7.1,20362,47245.5,37000
University of Jamestown,3,0.5689,NULL,14776,27712,0.2778,0.5227,0.6554,5.8,27000,68940.5,38600
University of Mary,3,0.8307,NULL,11143,22936,0.2362,0.4858,0.5882,4.6,23152,59522,45700
Mayville State University,3,NULL,9454,NULL,15452,0.297,0.3596,0.5434,12.3,21652,54695,34000
Sanford College of Nursing,3,NULL,NULL,NULL,NULL,0.2844,NULL,0.7431,0,13000,36468,52300
Minot State University,3,0.5662,8036,NULL,14549,0.2317,0.3732,0.3951,6.5,22000,43540,37200
University of North Dakota,3,0.737,14338,NULL,20538,0.2087,0.5529,0.5382,3.6,24500,72841.5,46600
North Dakota State University-Main Campus,3,0.841,10604,NULL,18277,0.2251,0.5308,0.5629,3.3,25050,71695,46300
Trinity Bible College,3,NULL,NULL,17208,24764,0.7225,0.3667,0.8414,17.8,26500,42354,26800
Valley City State University,3,0.829,9066,NULL,16086,0.2644,0.462,0.4761,4.8,22777.5,55533,36700
University of Akron Main Campus,3,0.9649,15636,NULL,21338,0.4149,0.4166,0.6238,13.5,26812,42489,34800
Allegheny Wesleyan College,3,NULL,NULL,4445,11857,0.5652,0.5385,0.5652,9,NULL,26270,NULL
Art Academy of Cincinnati,3,0.2548,NULL,16456,32485,0.4167,0.5313,0.7813,5,27000,73527,27900
Ashland University,3,0.7438,NULL,19701,40835,0.2861,0.5634,0.5886,4.7,27000,63187.5,39200
Baldwin Wallace University,3,0.6396,NULL,14795,37504,0.333,0.7088,0.7876,3.1,27000,74030,44000
Bluffton University,3,0.5308,NULL,18013,40078,0.3881,0.5971,0.7911,8.4,27000,68081,38300
Bowling Green State University-Main Campus,3,0.7247,14906,NULL,22416,0.343,0.541,0.6873,11.7,26000,70038,39000
Capital University,3,0.7604,NULL,20005,42600,0.296,0.5821,0.8018,4.9,27000,64146.5,41400
Case Western Reserve University,3,0.4188,NULL,17461,55783,0.2004,0.8012,0.4815,1.3,25000,57740,67000
Cedarville University,3,0.7401,NULL,17740,33652,0.2078,0.7263,0.5278,1.4,25000,83099,40900
Central State University,3,0.3328,10734,NULL,17380,0.7576,0.2518,0.8294,20.9,39068,25877,24900
Cincinnati Christian University,3,0.6398,NULL,11297,25900,0.4874,0.3894,0.7386,9.3,27000,52439,31000
University of Cincinnati-Main Campus,3,0.7325,16803,NULL,25799,0.2658,0.579,0.5545,10,23947.5,50863,39400
Ohio Christian University,3,0.9711,NULL,27968,33077,0.5686,0.3143,0.7138,11.5,27000,35443,32800
Cleveland Institute of Art,3,0.6825,NULL,26639,50146,0.4424,0.5979,0.7824,5.4,28000,71264,32700
Cleveland Institute of Music,3,0.5475,NULL,30384,59724,0.1514,0.6271,0.51,2.2,27000,60853,31100
Cleveland State University,3,0.6287,15101,NULL,22041,0.4344,0.3198,0.6316,9,24000,31001,39300
Columbus College of Art and Design,3,0.8551,NULL,22310,39478,0.3727,0.5908,0.7123,10.2,27000,63255,32800
University of Dayton,3,0.5297,NULL,22146,46250,0.1188,0.7674,0.6791,2,26863,108917.5,52300
Defiance College,3,0.716,NULL,19980,38824,0.4646,0.4558,0.8233,11.6,27000,65722,37000
Denison University,3,0.4597,NULL,10549,54490,0.1813,0.8137,0.5224,2.9,25000,101305,48600
The University of Findlay,3,0.6832,NULL,18021,38941,0.2009,0.564,0.4915,4.4,23250,71474,40600
Franklin University,3,NULL,NULL,22125,26710,0.4732,0.1471,0.698,12.4,25000,33254.5,48300
Gods Bible School and College,3,1,NULL,8987,14597,0.4645,0.3929,0.1677,9.3,8680,30820.5,26300
Heidelberg University,3,NULL,NULL,18045,35668,0.4288,0.5068,0.8432,9,28974,71433.5,38000
Hiram College,3,0.5736,NULL,18587,42672,0.4107,0.6456,0.7378,9.8,27000,63023.5,39000
John Carroll University,3,0.8334,NULL,16335,45714,0.273,0.7528,0.6694,3.7,27000,88730,51000
Kent State University at Kent,3,0.8302,16003,NULL,23995,0.3443,0.5152,0.6339,14.7,26225,51560,36600
Kenyon College,3,0.3838,NULL,9085,57910,0.1026,0.8908,0.5195,1.5,18304.5,110054,43700
Lake Erie College,3,0.5561,NULL,15739,39085,0.4096,0.4473,0.7604,8.4,27000,54053,33400
Lourdes University,3,0.6932,NULL,15350,27429,0.5722,0.3592,0.823,15.9,32650,30582.5,36000
Malone University,3,0.7179,NULL,12026,35213,0.3991,0.5866,0.7211,6.4,25500,63498,38500
Marietta College,3,0.6387,NULL,16247,42205,0.3019,0.5529,0.7122,7,27000,71762,42600
Miami University-Hamilton,3,NULL,11996,NULL,17107,0.4741,0.2801,0.5892,14.7,25000,81424.5,45800
Miami University-Middletown,3,NULL,12907,NULL,18054,0.4656,0.2256,0.5841,14.7,25000,81424.5,45800
Miami University-Oxford,3,0.6676,17946,NULL,30858,0.1553,0.8084,0.4162,14.7,25000,81424.5,45800
Mount Carmel College of Nursing,3,0.5421,NULL,17082,25491,0.2562,0.5595,0.6704,2.9,19500,63567,57700
University of Mount Union,3,0.712,NULL,23815,37502,0.3177,0.6273,0.8161,7.3,27000,74701.5,40800
Mount Vernon Nazarene University,3,0.6349,NULL,16393,33321,0.4248,0.6086,0.7568,6.6,26493,64078,39100
College of Mount St Joseph,3,0.8755,NULL,12001,31989,0.3152,0.5821,0.6543,10.5,32000,62912,39900
Muskingum University,3,0.7596,NULL,13575,33630,0.4235,0.4791,0.8113,6.6,27000,70305,39400
Notre Dame College,3,0.9024,NULL,15827,36250,0.3493,0.387,0.7526,7.9,27000,47506,39200
Oberlin College,3,0.3041,NULL,10297,59683,0.1072,0.8857,0.3717,2,25217,97279,38400
Ohio Dominican University,3,0.494,NULL,20657,40370,0.347,0.4092,0.5994,7.4,29754.5,49137.5,39500
Ohio Northern University,3,0.6785,NULL,18317,49618,0.24,0.7175,0.7284,2.7,27000,89742,54300
Ohio State University-Main Campus,3,0.5553,11003,NULL,24524,0.2224,0.8323,0.4587,7.1,22250,65600.5,42600
Ohio University-Main Campus,3,0.7295,14499,NULL,23605,0.2339,0.6657,0.518,15,22500,62815,39500
Ohio Wesleyan University,3,0.7533,NULL,24135,52819,0.2177,0.6319,0.5926,5.1,27000,87265,41000
Otterbein University,3,0.7374,NULL,21143,41646,0.2546,0.5886,0.6996,6.5,27000,75737,41200
Pontifical College Josephinum,3,NULL,NULL,32810,35748,0.0758,0.7727,0.2424,0,NULL,69954,NULL
Rabbinical College Telshe,3,0.875,NULL,5943,15660,0.6038,0.3333,0,0,NULL,39267,NULL
Shawnee State University,3,NULL,13525,NULL,17742,0.5567,0.2693,0.7268,21.3,23666,31079,32200
Franciscan University of Steubenville,3,0.7607,NULL,21760,32761,0.2642,0.7346,0.7649,2.2,25000,82655.5,35500
Ohio Mid-Western College,3,NULL,NULL,15640,23584,0.8466,0,0.9325,13.1,NULL,26162,NULL
Tiffin University,3,0.3856,NULL,26122,34771,0.6175,0.461,0.7577,18.9,26564.5,56315,38200
University of Toledo,3,0.9073,12905,NULL,21263,0.3792,0.4543,0.5921,13.5,24994,57163,40200
Tri-State Bible College,3,NULL,NULL,NULL,NULL,0.5833,NULL,0.5833,23,NULL,26112,NULL
Union Institute & University,3,NULL,NULL,18917,24093,0.6082,0.3125,0.8424,5.4,18750,39769,39300
Urbana University,3,NULL,NULL,15716,31686,0.3527,0.3042,0.5139,12.1,27000,60323,37500
Ursuline College,3,0.5782,NULL,12732,35976,0.4232,0.5,0.7725,6.1,29250,39096,42900
Walsh University,3,0.7713,NULL,14194,34994,0.3307,0.5519,0.8373,6,27000,67420,41800
Wilberforce University,3,0.5834,NULL,18021,24400,0.8229,0.1289,0.9486,18.8,29750,30893,32200
Wilmington College,3,0.4603,NULL,18542,39415,0.4479,0.3841,0.7822,9.4,27000,61722,39000
Wittenberg University,3,0.8932,NULL,23838,50728,0.2637,0.6261,0.6768,6.4,27000,89184,42700
The College of Wooster,3,0.5633,NULL,12255,51300,0.1938,0.7505,0.5144,6.6,25500,88881.5,44400
Wright State University-Main Campus,3,NULL,13463,NULL,20762,0.4049,0.4146,0.6136,10.4,25187,52197.5,38800
Xavier University,3,0.6997,NULL,24109,45080,0.1827,0.7646,0.5802,3.7,27000,88138,48800
Youngstown State University,3,NULL,10918,NULL,17350,0.512,0.3266,0.6905,20.3,28000,39369,34800
Bacone College,3,0.7182,NULL,13900,26400,0.9451,0.0536,0.9001,24.1,24398,28570,30600
Oklahoma Wesleyan University,3,0.4934,NULL,19643,32241,0.4207,0.5688,0.8123,7.4,23166,53772,44000
Southern Nazarene University,3,NULL,NULL,18456,31210,0.5369,0.4702,0.7944,7,18750,53978,45800
Cameron University,3,NULL,8115,NULL,14852,0.4859,0.2025,0.4073,19.3,18602.5,23834.5,33900
University of Central Oklahoma,3,0.8398,9031,NULL,16684,0.3496,0.3562,0.4162,10.5,22250,36756.5,38400
East Central University,3,0.9814,7325,NULL,13735,0.4848,0.3384,0.4532,16.9,19500,27762,34500
Hillsdale Free Will Baptist College,3,0.4331,NULL,13792,23637,0.5373,0.5119,0.6169,15.1,17500,37236,33400
Langston University,3,NULL,6133,NULL,13531,0.7167,0.2057,0.7808,25.5,30201,20334.5,28400
Northeastern State University,3,0.7337,5276,NULL,13296,0.4926,0.2969,0.5201,16.4,18471,28559,35000
Northwestern Oklahoma State University,3,0.598,3862,NULL,13065,0.4177,0.314,0.4301,16,15000,33698,36100
Oklahoma Christian University,3,0.6321,NULL,15672,29359,0.2707,0.4875,0.5196,6.3,25250,70327,35600
University of Oklahoma-Health Sciences Center,3,NULL,NULL,NULL,NULL,0.2949,NULL,0.6377,4.9,20000,50281,46600
Oklahoma Panhandle State University,3,0.4767,9783,NULL,15439,0.4554,0.2264,0.5161,16.2,18154,33556,34400
Oklahoma State University-Main Campus,3,0.7602,10163,NULL,21338,0.2914,0.5956,0.4371,8,20500,52462,43400
Oklahoma Baptist University,3,0.5646,NULL,13783,31759,0.3326,0.546,0.5045,5.7,24896,58859,35300
Oklahoma City University,3,0.7198,NULL,20046,41431,0.1991,0.6075,0.4877,7.8,24168,52723,39400
University of Oklahoma-Norman Campus,3,0.8044,13873,NULL,23263,0.2491,0.6629,0.3806,4.9,20000,49891,46600
Oral Roberts University,3,0.4354,NULL,19157,35070,0.4396,0.5336,0.6733,10.8,27000,53889,34900
Rogers State University,3,0.5445,10920,NULL,17213,0.4721,0.2131,0.4682,15.6,19000,29974,32600
Saint Gregory's University,3,0.9468,NULL,11748,32671,0.4193,0.241,0.6456,18.7,25250,39056.5,38200
University of Science and Arts of Oklahoma,3,0.6246,5744,NULL,15440,0.464,0.3788,0.4761,17.5,19591.5,36561,30700
Southeastern Oklahoma State University,3,0.7992,6730,NULL,14050,0.4777,0.3059,0.4546,16.3,16443,28378,34300
Southwestern Christian University,3,0.884,NULL,19828,22983,0.6522,0.2973,0.7856,13.2,23316,36041,28200
Southwestern Oklahoma State University,3,0.9026,7777,NULL,16660,0.3921,0.3292,0.6484,18.8,16759,35512,37000
University of Tulsa,3,0.4059,NULL,20886,46560,0.1557,0.6882,0.3177,7.2,25000,64324,43200
The Art Institute of Portland,3,NULL,NULL,25945,31642,0.5645,0.3107,0.7974,11.4,35287,39427,33000
Concordia University-Portland,3,0.5592,NULL,16980,35963,0.4485,0.5549,0.74,4.2,26740,53453,41800
Eastern Oregon University,3,0.67,11713,NULL,18959,0.5105,0.2325,0.5992,8.4,22500,38491,37800
New Hope Christian College-Eugene,3,0.1594,NULL,12928,21311,0.5766,0.3636,0.6712,15.6,24711,46889,23200
George Fox University,3,0.7528,NULL,20194,41836,0.364,0.623,0.6722,4.7,22000,66182,43300
Lewis & Clark College,3,0.6285,NULL,21349,53455,0.2135,0.7451,0.6599,1.9,22389.5,67573,43400
Linfield College-McMinnville Campus,3,0.9219,NULL,20545,45708,0.255,0.6786,0.6392,3.3,25000,65697,51300
Marylhurst University,3,0.3889,NULL,31095,34155,0.5239,0.2143,0.776,2.1,31831,32475,33300
Mount Angel Seminary,3,1,NULL,26367,31917,0.2597,0.5789,0.0519,0,NULL,7471,NULL
Multnomah University,3,0.538,NULL,21120,33878,0.5924,0.4714,0.7117,3.7,25000,46586,31400
Northwest Christian University,3,0.7044,NULL,17586,34807,0.4956,0.4615,0.8114,4,24229.5,49421,38500
Oregon Health & Science University,3,NULL,NULL,NULL,NULL,0.3176,NULL,0.7782,1.1,15364.5,19452,74100
Oregon Institute of Technology,3,0.7135,10749,NULL,18801,0.3621,0.444,0.5068,5.1,26067,38541,50100
Oregon College of Art and Craft,3,0.3053,NULL,21369,35850,0.539,0.3333,0.8052,11.4,35500,19528,NULL
Oregon State University,3,0.7894,14100,NULL,22974,0.3339,0.6147,0.5162,5,23166,54955,46400
University of Oregon,3,0.7417,12077,NULL,22390,0.2585,0.6653,0.418,5.8,21535,54318,41600
Pacific Northwest College of Art,3,0.6474,NULL,24198,43235,0.5,0.3556,0.8789,14.5,28700,31307.5,22600
Pacific University,3,0.8619,NULL,22825,47922,0.3145,0.6156,0.8608,1.8,25750,66418,42300
Portland State University,3,0.6117,11640,NULL,19843,0.4019,0.417,0.5297,6,24568.5,29525.5,42800
University of Portland,3,0.668,NULL,22442,51036,0.2189,0.755,0.5196,1.1,25000,86897,51700
Reed College,3,0.4853,NULL,15841,57701,0.1718,0.819,0.3582,2.3,16098.5,69123.5,36200
Southern Oregon University,3,0.7304,11577,NULL,18285,0.3855,0.367,0.4882,10.6,22804,40096.5,37300
Warner Pacific College,3,0.5274,NULL,19120,30830,0.5336,0.3152,0.8312,7,26643,47919,36100
Corban University,3,0.3225,NULL,20041,38834,0.333,0.5459,0.6272,3.7,24493,65500.5,34200
Willamette University,3,0.5784,NULL,21983,52665,0.207,0.7883,0.5031,3.5,23500,82978,49200
Western Oregon University,3,0.882,14998,NULL,21732,0.4433,0.4443,0.6583,9.3,25000,53889,38500
Bryn Athyn College of the New Church,3,0.5177,NULL,5474,25576,0.3539,0.5854,0.7284,5,20850,70373,NULL
Albright College,3,0.6231,NULL,20260,46170,0.4075,0.5371,0.8536,6.7,28910,66577.5,48500
Allegheny College,3,0.6487,NULL,18386,50044,0.2621,0.7917,0.6808,2.6,28800,85933,49200
DeSales University,3,0.758,NULL,20709,45331,0.2666,0.7033,0.6649,3.1,27000,77146,48300
Alvernia University,3,0.7762,NULL,22125,39999,0.346,0.5132,0.6131,6.9,27000,53135,42600
The Art Institutes of York-PA,3,NULL,NULL,23044,31192,0.556,0.6333,0.9025,19.5,29879,58703,31300
The Art Institute of Philadelphia,3,NULL,NULL,25501,31690,0.5903,0.2999,0.877,16.6,31000,43565,31700
The Art Institute of Pittsburgh,3,NULL,NULL,25516,33201,0.585,0.3895,0.8517,24.9,40022,37234,29200
Baptist Bible College & Seminary of Pennsylvania,3,0.8576,NULL,15238,28001,0.5277,0.4969,0.5092,3.6,16288.5,55589.5,30000
Arcadia University,3,0.5969,NULL,21123,48907,0.337,0.605,0.7796,4.9,27000,76319,43700
Bloomsburg University of Pennsylvania,3,0.8856,14750,NULL,21732,0.3037,0.6182,0.6848,6.3,25568,72266.5,43800
Bryn Mawr College,3,0.3992,NULL,13203,57586,0.1861,0.8409,0.4667,1.8,25000,70896,50400
Bucknell University,3,0.2951,NULL,19903,59090,0.1061,0.9076,0.4098,1.3,27000,102976,68800
Cabrini College,3,0.7428,NULL,19336,43541,0.308,0.4561,0.625,5.5,26000,91613,42700
California University of Pennsylvania,3,0.9269,14981,NULL,23081,0.3803,0.4976,0.7454,8,25000,60595,38100
Carlow University,3,0.9522,NULL,14823,35640,0.356,0.6231,0.6302,5.8,27000,47364,39900
Carnegie Mellon University,3,0.2549,NULL,23904,59710,0.137,0.8799,0.3964,0.9,25000,90107.5,72000
Cedar Crest College,3,0.588,NULL,15876,41240,0.4253,0.5991,0.8337,7.3,30575,53743.5,45200
Central Penn College,3,NULL,NULL,17193,24548,0.5639,0.4545,0.7955,15.6,34302,47638,32100
Chatham University,3,0.6077,NULL,15343,44591,0.2928,0.5029,0.5683,2.3,21843.5,47453.5,34300
Chestnut Hill College,3,0.5785,NULL,19576,42663,0.4915,0.4188,0.833,7.6,27000,44204,43000
Cheyney University of Pennsylvania,3,NULL,13425,NULL,21605,0.7696,0.2482,0.8636,26.9,31000,26084,30000
Clarion University of Pennsylvania,3,0.9348,13256,NULL,20478,0.388,0.5286,0.7167,8.1,26000,57055.5,37200
Curtis Institute of Music,3,0.0484,NULL,6286,16803,0.16,1,0.464,2.9,NULL,70726,NULL
Delaware Valley College,3,0.6834,NULL,21641,44778,0.274,0.5684,0.7023,5.3,26500,79773,42200
Dickinson College,3,0.4444,NULL,13872,58149,0.1215,0.8562,0.4329,1.7,21000,100478,52100
Drexel University,3,0.815,NULL,25619,53831,0.2021,0.6951,0.5641,3.5,26098,69348,61100
Duquesne University,3,0.7409,NULL,19908,42280,0.2023,0.7688,0.6763,2.8,27000,81511,54300
East Stroudsburg University of Pennsylvania,3,0.7844,12350,NULL,20282,0.3029,0.5604,0.65,5.1,23955,76873.5,42900
Eastern University,3,0.6409,NULL,19366,39764,0.4091,0.5466,0.7542,8.9,26181.5,70417,42800
Edinboro University of Pennsylvania,3,0.8735,12500,NULL,19886,0.4558,0.4175,0.7777,10.5,27000,51587,33900
Elizabethtown College,3,0.6957,NULL,19701,47390,0.2175,0.7741,0.7321,3.6,27000,90303,47700
Faith Theological Seminary,3,NULL,NULL,NULL,NULL,0.0769,0.3143,0.0385,0,NULL,NULL,NULL
Franklin and Marshall College,3,0.3931,NULL,10068,58518,0.1416,0.8735,0.4034,2.3,25000,113508,54800
Gannon University,3,0.8042,NULL,16676,37572,0.3185,0.6508,0.6779,7.5,27000,68879,46200
Geneva College,3,0.6802,NULL,20158,34818,0.3866,0.6695,0.9085,6.6,26484.5,60823.5,37500
Gettysburg College,3,0.4163,NULL,13344,55770,0.1404,0.8357,0.5473,2.6,22227,107490,52200
Gwynedd Mercy University,3,0.6591,NULL,19912,39051,0.3351,0.6598,0.7278,7.7,26000,70168,52000
Haverford College,3,0.2349,NULL,5648,59654,0.1502,0.9333,0.2033,3.3,13852.5,89312.5,55600
Holy Family University,3,0.7585,NULL,11675,31949,0.3558,0.5461,0.7181,4.4,27000,58483.5,49900
Immaculata University,3,0.7964,NULL,24235,45011,0.2234,0.4828,0.5862,6.1,26000,62480,49000
Indiana University of Pennsylvania-Main Campus,3,0.9049,15128,NULL,22936,0.362,0.5119,0.7292,8.8,27000,63430,38000
Juniata College,3,0.7409,NULL,16254,47269,0.2176,0.7507,0.6893,1.6,27000,81010.5,45200
Keystone College,3,0.7205,NULL,12792,31012,0.4479,0.4221,0.6641,9.6,26000,45833,31400
King's College,3,0.7151,NULL,19764,41453,0.2917,0.6577,0.766,7,27000,78687.5,48900
Kutztown University of Pennsylvania,3,0.8179,15280,NULL,23130,0.316,0.5482,0.7281,6.7,26000,74351,41400
La Roche College,3,0.5565,NULL,14282,35493,0.3833,0.4558,0.7718,6.5,25000,62381,38700
La Salle University,3,0.8021,NULL,21911,47134,0.3598,0.6443,0.6918,3.8,27000,71045.5,53200
Lafayette College,3,0.3414,NULL,13810,57688,0.1065,0.8832,0.4236,1.6,24338,107123,69800
Lancaster Bible College,3,0.5813,NULL,16553,27372,0.4096,0.6952,0.667,4.3,18750,60888,30400
Lebanon Valley College,3,0.6686,NULL,20891,46169,0.2282,0.7311,0.7317,1.4,27000,88001.5,46100
Lehigh University,3,0.3084,NULL,16096,55441,0.1472,0.8584,0.4495,0.9,24750,102543,76800
Lincoln University of Pennsylvania,3,0.6133,13412,NULL,22497,0.6429,0.3984,0.8911,23.3,33830,35974,34900
Lock Haven University,3,0.8777,11200,NULL,19145,0.3919,0.4733,0.7814,8,27000,61119,39100
Lycoming College,3,0.7162,NULL,16094,44256,0.3264,0.6391,0.7829,6.6,27000,75474,42800
Mansfield University of Pennsylvania,3,0.9229,13874,NULL,21432,0.4394,0.4962,0.7758,10.5,27000,53497,38100
Marywood University,3,0.713,NULL,19113,41657,0.3528,0.6511,0.7829,7.1,27000,61757,38000
Mercyhurst University,3,0.7536,NULL,15591,42367,0.3155,0.6047,0.7072,12.9,25000,66871,38500
Messiah College,3,0.659,NULL,20434,41341,0.2044,0.758,0.668,2.6,26856,91486,41400
Millersville University of Pennsylvania,3,0.7186,13763,NULL,21756,0.3148,0.6078,0.6789,5.5,25000,73644,43200
Misericordia University,3,0.6489,NULL,19884,38504,0.2892,0.6923,0.7211,6.8,27000,66143,47500
Moore College of Art and Design,3,0.5632,NULL,27658,47675,0.4336,0.5758,0.8133,9,27000,67507,30500
Moravian College,3,0.7995,NULL,18615,45863,0.3028,0.7406,0.7693,3.3,27000,88320,50000
Muhlenberg College,3,0.4616,NULL,14656,53637,0.0784,0.8584,0.41,2.8,26941,110473,56000
Neumann University,3,0.5531,NULL,22575,37314,0.3874,0.5019,0.8048,9.3,27000,72393.5,41600
Pennsylvania State University-Penn State Erie-Behrend College,3,0.8408,17453,NULL,27759,0.3156,0.6995,0.7036,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State New Kensington,3,0.7379,11629,NULL,20315,0.3371,0.5369,0.6545,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Shenango,3,0.6943,12767,NULL,21867,0.5467,0.3134,0.7422,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Wilkes-Barre,3,0.8199,10610,NULL,20301,0.3355,0.5029,0.6823,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Worthington Scranton,3,0.8186,11495,NULL,20183,0.4652,0.4608,0.7245,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Lehigh Valley,3,0.8548,9818,NULL,19456,0.3572,0.5481,0.5832,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Altoona,3,0.8519,18419,NULL,27591,0.3329,0.688,0.715,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Beaver,3,0.8731,13058,NULL,22942,0.365,0.4333,0.6653,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Berks,3,0.8307,16364,NULL,25931,0.3405,0.5652,0.6832,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Harrisburg,3,0.7994,16355,NULL,26651,0.3456,0.6086,0.6392,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Brandywine,3,0.7905,9809,NULL,19297,0.3403,0.441,0.6186,7.7,27000,70439.5,47500
Pennsylvania State University-Main Campus,3,0.542,20234,NULL,31625,0.1768,0.8484,0.522,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Greater Allegheny,3,0.7983,14346,NULL,24415,0.5024,0.4556,0.7543,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Abington,3,0.7774,10192,NULL,19611,0.4156,0.4803,0.6044,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Schuylkill,3,0.811,14458,NULL,24227,0.5283,0.4277,0.7716,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State York,3,0.845,11204,NULL,19761,0.3143,0.4954,0.5671,7.7,27000,70439.5,47500
Peirce College,3,NULL,NULL,14904,19700,0.5409,0.2222,0.7461,14.2,39162.5,34735,44700
Pennsylvania Academy of the Fine Arts,3,0.8406,NULL,23400,43656,0.4123,0.6757,0.6635,8.3,26766,41646,20900
Pennsylvania College of Art and Design,3,0.3614,NULL,20586,28860,0.3918,0.5424,0.8898,12.7,27000,71555,27300
University of Pennsylvania,3,0.1224,NULL,6614,59600,0.1417,0.9569,0.2328,1.3,21500,62169,78200
Philadelphia University,3,0.6408,NULL,20479,46451,0.3026,0.5827,0.7216,3.8,27800,81316.5,48700
The University of the Arts,3,0.7539,NULL,29299,52401,0.3185,0.6378,0.6763,8.8,27000,81397,31100
Cairn University-Langhorne,3,0.5131,NULL,16082,32509,0.444,0.6988,0.8416,5.1,27000,61586.5,32600
University of the Sciences,3,0.5635,NULL,23440,49327,0.2632,0.7181,0.7424,2.4,27000,82840.5,85800
University of Pittsburgh-Bradford,3,0.8532,13246,NULL,23732,0.4526,0.5189,0.7833,4.2,26896.5,71893,48200
