INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Gettysburg College,0.4163,NULL,13344,55770,0.1404,0.8357,0.5473,2.6,22227,107490,52200
Empire Beauty School-Exton,NULL,NULL,12888,NULL,0.5294,NULL,0.6176,17.2,9046.5,30080,19900
Empire Beauty School-Laurel Springs,NULL,NULL,14353,NULL,0.6552,NULL,0.7328,17.1,10029,22585,21200
Empire Beauty School-NE Philadelphia,NULL,NULL,14430,NULL,0.5881,NULL,0.5739,17.1,10029,19805,21900
Gratz College,NULL,NULL,NULL,NULL,0.0541,NULL,0.0811,2,NULL,NULL,NULL
Gwynedd Mercy University,0.6591,NULL,19912,39051,0.3351,0.6598,0.7278,7.7,26000,70168,52000
Harcum College,0.6836,NULL,21117,33543,0.5941,NULL,0.7971,12.4,19562,36667,33700
Harrisburg Area Community College-Harrisburg,NULL,9371,NULL,14041,0.4253,NULL,0.5222,19.4,21000,37237,34000
Harrisburg Area Community College-Lancaster,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.4,21000,NULL,34000
Harrisburg Area Community College-Gettysburg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.4,21000,NULL,34000
Harrisburg Area Community College-Lebanon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.4,21000,NULL,34000
Harrisburg Area Community College-York,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.4,21000,NULL,34000
Haverford College,0.2349,NULL,5648,59654,0.1502,0.9333,0.2033,3.3,13852.5,89312.5,55600
Commonwealth Technical Institute,NULL,NULL,25388,30930,0.5546,NULL,0,0,NULL,5364.5,18400
Holy Family University,0.7585,NULL,11675,31949,0.3558,0.5461,0.7181,4.4,27000,58483.5,49900
Hussian School of Art,0.481,NULL,17311,20583,0.5612,NULL,0.7857,5.8,27000,71055,34200
Kaplan Career Institute-Pittsburgh,NULL,NULL,17282,NULL,0.5661,NULL,0.6365,30.8,13038.5,8853,26100
Immaculata University,0.7964,NULL,24235,45011,0.2234,0.4828,0.5862,6.1,26000,62480,49000
Indiana University of Pennsylvania-Main Campus,0.9049,15128,NULL,22936,0.362,0.5119,0.7292,8.8,27000,63430,38000
Jameson Health System,NULL,NULL,NULL,NULL,0.5,NULL,0.7105,2.8,14800,43085,51100
Great Lakes Institute of Technology,NULL,NULL,10954,NULL,0.7669,NULL,0.9566,24.6,11095,16227,20200
Jolie Hair and Beauty Academy-Wilkes-Barre,NULL,NULL,13050,NULL,0.6496,NULL,0.6642,14.4,7667,23011,NULL
Johnson College,0.329,NULL,16843,23767,0.5288,NULL,0.8075,8.7,12000,48545,35500
Juniata College,0.7409,NULL,16254,47269,0.2176,0.7507,0.6893,1.6,27000,81010.5,45200
Keystone College,0.7205,NULL,12792,31012,0.4479,0.4221,0.6641,9.6,26000,45833,31400
Anthem Institute-Springfield,NULL,NULL,24896,28583,0.8351,NULL,0.9072,15.7,9500,25018,45400
King's College,0.7151,NULL,19764,41453,0.2917,0.6577,0.766,7,27000,78687.5,48900
Kittanning Beauty School,NULL,NULL,17966,NULL,0.3415,NULL,0.5122,12.6,9500,20734.5,14300
Kutztown University of Pennsylvania,0.8179,15280,NULL,23130,0.316,0.5482,0.7281,6.7,26000,74351,41400
La Roche College,0.5565,NULL,14282,35493,0.3833,0.4558,0.7718,6.5,25000,62381,38700
La Salle University,0.8021,NULL,21911,47134,0.3598,0.6443,0.6918,3.8,27000,71045.5,53200
Lackawanna College,NULL,NULL,13454,20649,0.6032,NULL,0.7812,18.6,17250,35530,30600
Lafayette College,0.3414,NULL,13810,57688,0.1065,0.8832,0.4236,1.6,24338,107123,69800
Lancaster Bible College,0.5813,NULL,16553,27372,0.4096,0.6952,0.667,4.3,18750,60888,30400
Lancaster Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.1,NULL,NULL,NULL
Lancaster School of Cosmetology,NULL,NULL,12162,NULL,0.3162,NULL,0.5595,4.1,3666,31023,16600
Lansdale School of Business,NULL,NULL,16194,20877,0.4701,NULL,0.7849,21.6,9245,33286,36200
Lansdale School of Cosmetology Inc,NULL,NULL,10702,NULL,0.3333,NULL,0.3571,2.7,7612.5,64386,NULL
Lebanon Valley College,0.6686,NULL,20891,46169,0.2282,0.7311,0.7317,1.4,27000,88001.5,46100
Lehigh Carbon Community College,NULL,4139,NULL,8729,0.3351,NULL,0.2727,15.9,11500.5,33973,31500
Berks Technical Institute,NULL,NULL,15358,21759,0.768,NULL,0.8606,22.9,13700.5,30894,30300
Lehigh University,0.3084,NULL,16096,55441,0.1472,0.8584,0.4495,0.9,24750,102543,76800
Levittown Beauty Academy,NULL,NULL,13943,NULL,0.8957,NULL,0.9304,14.2,8028,26184,17400
Lincoln Technical Institute-Allentown,NULL,NULL,18752,NULL,0.7433,NULL,0.8251,26.1,12473.5,26754,39200
Lincoln Technical Institute-Philadelphia,NULL,NULL,14403,NULL,0.7973,NULL,0.7956,26.5,11813,21980,29100
Lincoln University of Pennsylvania,0.6133,13412,NULL,22497,0.6429,0.3984,0.8911,23.3,33830,35974,34900
Lock Haven University,0.8777,11200,NULL,19145,0.3919,0.4733,0.7814,8,27000,61119,39100
St Margaret School of Nursing,0.625,NULL,NULL,NULL,0.374,NULL,0.2846,8.3,16648,26769,NULL
Lutheran Theological Seminary at Gettysburg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Lutheran Theological Seminary at Philadelphia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6,NULL,NULL,NULL
Luzerne County Community College,NULL,4957,NULL,9879,0.4105,NULL,0.2899,13.4,10000,31527.5,31300
Lycoming College,0.7162,NULL,16094,44256,0.3264,0.6391,0.7829,6.6,27000,75474,42800
Erie Business Center-New Castle,NULL,NULL,5302,11909,0.871,NULL,0.7903,26,17199,11401,23200
Manor College,0.455,NULL,18311,23119,0.4471,NULL,0.5432,12.7,15500,43347,38100
Mansfield University of Pennsylvania,0.9229,13874,NULL,21432,0.4394,0.4962,0.7758,10.5,27000,53497,38100
Marywood University,0.713,NULL,19113,41657,0.3528,0.6511,0.7829,7.1,27000,61757,38000
Vet Tech Institute,NULL,NULL,11649,20387,0.4837,NULL,0.9199,9.6,13625,44321,23300
Roxborough Memorial Hospital School of Nursing,NULL,NULL,NULL,NULL,0.6324,NULL,0.8824,4.4,20000,50120,74000
Mercyhurst University,0.7536,NULL,15591,42367,0.3155,0.6047,0.7072,12.9,25000,66871,38500
Messiah College,0.659,NULL,20434,41341,0.2044,0.758,0.668,2.6,26856,91486,41400
Metropolitan Career Center Computer Technology Institute,0.8462,NULL,26234,33375,0.9878,NULL,0.9878,20.3,15000,8548.5,20800
Millersville University of Pennsylvania,0.7186,13763,NULL,21756,0.3148,0.6078,0.6789,5.5,25000,73644,43200
Misericordia University,0.6489,NULL,19884,38504,0.2892,0.6923,0.7211,6.8,27000,66143,47500
Montgomery County Community College,NULL,6749,NULL,11472,0.2598,NULL,0.2539,15,12000,34354,35500
Moore College of Art and Design,0.5632,NULL,27658,47675,0.4336,0.5758,0.8133,9,27000,67507,30500
Moravian College,0.7995,NULL,18615,45863,0.3028,0.7406,0.7693,3.3,27000,88320,50000
Mount Aloysius College,0.6876,NULL,17234,30884,0.4285,0.37,0.7339,7.2,25000,42148,36600
Muhlenberg College,0.4616,NULL,14656,53637,0.0784,0.8584,0.41,2.8,26941,110473,56000
Kaplan Career Institute-Philadelphia,NULL,NULL,22124,NULL,0.7423,NULL,0.6835,26.1,9500,8297.5,26300
Neumann University,0.5531,NULL,22575,37314,0.3874,0.5019,0.8048,9.3,27000,72393.5,41600
New Castle School of Trades,1,NULL,9498,NULL,0.7023,NULL,0.5138,18.4,9651,20864,31100
New Castle School of Trades,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4,9651,NULL,NULL
Northampton County Area Community College,NULL,4745,NULL,10525,0.4036,NULL,0.233,15.5,12737,32720,32500
Northampton County Area Community College-Monroe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.5,12737,NULL,32500
Pittsburgh's Ohio Valley Hospital School of Nursing,NULL,NULL,12329,16629,0.058,NULL,0.1884,6,NULL,43315.5,NULL
Orleans Technical Institute,0.7951,NULL,15133,NULL,0.6451,NULL,0.5329,21.8,7521,12937.5,28200
Pennsylvania Academy of Cosmetology Arts and Sciences-Johnstown,NULL,NULL,14386,NULL,0.7079,NULL,0.6629,28.2,9500,23039,16300
Salus University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,4006,8761,94700
Pennsylvania Institute of Technology,NULL,NULL,13836,16794,0.5531,NULL,0.7667,9.6,9500,16958.5,35400
Pennsylvania State University-Penn State Erie-Behrend College,0.8408,17453,NULL,27759,0.3156,0.6995,0.7036,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Great Valley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,27000,70439.5,47500
Pennsylvania State University-College of Medicine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State New Kensington,0.7379,11629,NULL,20315,0.3371,0.5369,0.6545,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Shenango,0.6943,12767,NULL,21867,0.5467,0.3134,0.7422,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Wilkes-Barre,0.8199,10610,NULL,20301,0.3355,0.5029,0.6823,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Worthington Scranton,0.8186,11495,NULL,20183,0.4652,0.4608,0.7245,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Lehigh Valley,0.8548,9818,NULL,19456,0.3572,0.5481,0.5832,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Altoona,0.8519,18419,NULL,27591,0.3329,0.688,0.715,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Beaver,0.8731,13058,NULL,22942,0.365,0.4333,0.6653,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Berks,0.8307,16364,NULL,25931,0.3405,0.5652,0.6832,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Harrisburg,0.7994,16355,NULL,26651,0.3456,0.6086,0.6392,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Brandywine,0.7905,9809,NULL,19297,0.3403,0.441,0.6186,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Dubois,0.8793,11319,NULL,21299,0.4602,0.5591,0.6989,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Fayette- Eberly,0.8918,10029,NULL,19753,0.4844,0.4684,0.7439,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Hazleton,0.8634,15703,NULL,25745,0.4557,0.536,0.7547,7.7,27000,70439.5,47500
Pennsylvania State University-Main Campus,0.542,20234,NULL,31625,0.1768,0.8484,0.522,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Greater Allegheny,0.7983,14346,NULL,24415,0.5024,0.4556,0.7543,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Mont Alto,0.8271,16477,NULL,25553,0.3888,0.5199,0.6989,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Abington,0.7774,10192,NULL,19611,0.4156,0.4803,0.6044,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State Schuylkill,0.811,14458,NULL,24227,0.5283,0.4277,0.7716,7.7,27000,70439.5,47500
Pennsylvania State University-Penn State York,0.845,11204,NULL,19761,0.3143,0.4954,0.5671,7.7,27000,70439.5,47500
Pace Institute,NULL,NULL,8393,14409,0.8645,NULL,0.6773,38.6,12833,13733.5,28800
Peirce College,NULL,NULL,14904,19700,0.5409,0.2222,0.7461,14.2,39162.5,34735,44700
Penn Commercial Business/Technical School,0.9524,NULL,26091,28652,0.7853,NULL,0.9424,16,12999.5,21511,23900
Pennco Tech-Bristol,NULL,NULL,14844,NULL,0.6855,NULL,0.6987,19,9500,27774,33800
Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois,NULL,NULL,11585,NULL,0.519,NULL,0.6076,28.2,9500,23039,16300
Pennsylvania Academy of the Fine Arts,0.8406,NULL,23400,43656,0.4123,0.6757,0.6635,8.3,26766,41646,20900
Pennsylvania Gunsmith School,NULL,NULL,18242,NULL,0.3739,NULL,0.4522,5.9,12000,62129,NULL
Pennsylvania Institute of Taxidermy Inc,NULL,NULL,44224,NULL,0.36,NULL,0.72,19,9500,44258,NULL
Cortiva Institute-Pennsylvania School of Muscle Therapy,NULL,NULL,16555,NULL,0.4189,NULL,0.5811,12.4,6861,37869,NULL
Pennsylvania College of Art and Design,0.3614,NULL,20586,28860,0.3918,0.5424,0.8898,12.7,27000,71555,27300
University of Pennsylvania,0.1224,NULL,6614,59600,0.1417,0.9569,0.2328,1.3,21500,62169,78200
Philadelphia University,0.6408,NULL,20479,46451,0.3026,0.5827,0.7216,3.8,27800,81316.5,48700
The University of the Arts,0.7539,NULL,29299,52401,0.3185,0.6378,0.6763,8.8,27000,81397,31100
Villanova University - Summer Music Studies Program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,27000,NULL,NULL
Cairn University-Langhorne,0.5131,NULL,16082,32509,0.444,0.6988,0.8416,5.1,27000,61586.5,32600
Philadelphia College of Osteopathic Medicine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.6,2000,5042,148400
University of the Sciences,0.5635,NULL,23440,49327,0.2632,0.7181,0.7424,2.4,27000,82840.5,85800
Community College of Philadelphia,NULL,6639,NULL,11539,0.6066,NULL,0.4708,17.4,11500,19176,30700
University of Pittsburgh-Bradford,0.8532,13246,NULL,23732,0.4526,0.5189,0.7833,4.2,26896.5,71893,48200
University of Pittsburgh-Greensburg,0.9311,13366,NULL,23343,0.52,0.5329,0.7191,4.2,26896.5,71893,48200
University of Pittsburgh-Johnstown,0.9038,14532,NULL,23709,0.3056,0.5501,0.7285,4.2,26896.5,71893,48200
University of Pittsburgh-Pittsburgh Campus,0.5613,21249,NULL,30410,0.1706,0.8044,0.5513,4.2,26896.5,71893,48200
University of Pittsburgh-Titusville,0.954,13710,NULL,22596,0.5567,NULL,0.8557,4.2,26896.5,71893,48200
Beaver Falls Beauty Academy,NULL,NULL,17719,NULL,0.6271,NULL,0.7627,8.6,8800,23319.5,NULL
Pittsburgh Institute of Aeronautics,NULL,NULL,21786,26732,0.3395,NULL,0.537,17.4,14498,49869.5,54900
Pittsburgh Institute of Mortuary Science Inc,0.7615,NULL,15573,NULL,0.3667,NULL,0.7292,3.8,20000,37111,33200
Pittsburgh Technical Institute,NULL,NULL,19040,27593,0.6868,NULL,0.9235,20.9,18500,38815,34400
Pittsburgh Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Prism Career Institute-Upper Darby,NULL,NULL,38670,40651,0.8316,NULL,0.6579,34.7,14552,16441,31300
Point Park University,0.7393,NULL,19956,36726,0.4194,0.4978,0.7719,11.2,27000,46028,37900
Joseph F McCloskey School of Nursing at Schuylkill Health,NULL,NULL,NULL,NULL,0.541,NULL,0.8852,6.8,23000,51233.5,NULL
The Salon Professional Academy-Altoona,NULL,NULL,7287,NULL,0.5345,NULL,0.6379,20.2,8027,32132,NULL
Reading Area Community College,NULL,9310,NULL,14208,0.6032,NULL,0.7255,26.4,14784,22224.5,30200
Reading Hospital School of Health Sciences,0.281,NULL,15135,21912,0.3643,NULL,0.7239,3.9,16141,58965,57600
Reconstructionist Rabbinical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.1,NULL,NULL,NULL
Reformed Presbyterian Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.8,NULL,NULL,NULL
The Restaurant School at Walnut Hill College,NULL,NULL,31286,34280,0.5186,0.5027,0.7606,15.5,16000,53066,30100
Kaplan Career Institute-Broomall,NULL,NULL,19870,NULL,0.2646,NULL,0.2072,26.7,9500,13598,30800
Robert Morris University,0.8051,NULL,18335,38274,0.3466,0.5587,0.7034,4.9,27000,63178.5,44900
Rosedale Technical Institute,NULL,NULL,22072,26481,0.7332,NULL,0.7409,16.9,16000,19985,33500
Rosemont College,0.5838,NULL,21555,45067,0.5382,0.4559,0.8416,7.2,28000,45253,45800
Saint Francis University,0.7606,NULL,17448,42492,0.224,0.7146,0.6303,4.8,NULL,72643.5,46900
Saint Joseph's University,0.7873,NULL,26676,52779,0.1357,0.7851,0.5054,4.4,24250,109701.5,58500
Saint Vincent College,0.6875,NULL,14963,41591,0.2912,0.6998,0.7069,4.7,27000,80131,44200
Saint Vincent Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.7,27000,80131,44200
Schuylkill Technology Center,NULL,11167,NULL,NULL,0.4238,NULL,0.6291,16.2,7306,35143,35500
University of Scranton,0.7503,NULL,23736,51962,0.2014,0.8176,0.6741,4,27000,93993,56000
Seton Hill University,0.652,NULL,18114,40497,0.3169,0.6113,0.7153,6.6,27000,56664,35600
University of Pittsburgh Medical Center-Shadyside School of Nursing,0.8387,NULL,25458,29814,0.3548,NULL,0.7097,6,15000,32455,49900
Sharon Regional Health System School of Nursing,NULL,NULL,NULL,NULL,0.46,NULL,0.66,NULL,12486.5,39615,NULL
Laurel Technical Institute,0.7418,NULL,6419,12977,0.8497,NULL,0.8566,12.8,12324,12299,17600
Laurel Technical Institute Meadville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.8,12324,12299,17600
Shippensburg University of Pennsylvania,0.8341,12840,NULL,20840,0.3021,0.5483,0.7063,5.7,26000,75275.5,45200
Slippery Rock University of Pennsylvania,0.6698,13037,NULL,21303,0.322,0.6262,0.7326,5.2,25719.5,64717,39000
Saint Charles Borromeo Seminary-Overbrook,0.8571,NULL,31817,36410,0.1224,0.4286,0.3061,0,NULL,43198,NULL
South Hills Beauty Academy Inc,NULL,NULL,17476,NULL,0.0863,NULL,0.7716,16.8,3432,26215,18300
South Hills School of Business & Technology,0.9634,NULL,16929,26582,0.6546,NULL,0.8723,16.9,19500,31333,29200
South Hills School of Business and Technology-Altoona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.9,19500,31333,29200
St Lukes Hospital School of Nursing,NULL,NULL,NULL,NULL,0.3776,NULL,0.8265,5.4,16500,54039,54600
Stroudsburg School of Cosmetology,NULL,NULL,13397,NULL,0.4079,NULL,0.5,14.7,10279,28068.5,NULL
Susquehanna University,0.7233,NULL,16757,49025,0.2248,0.747,0.6926,3.7,25000,89238,50000
Swarthmore College,0.1432,NULL,12559,58481,0.1411,0.9342,0.2616,0,19000,89473,49400
Thaddeus Stevens College of Technology,0.3818,2598,NULL,13650,0.5793,NULL,0.3793,14.7,7515.5,50327.5,39000
Talmudical Yeshiva of Philadelphia,0.7273,NULL,9928,17900,0.2667,0.4571,0,0,NULL,50694,NULL
Temple University,0.6387,17074,NULL,27247,0.3352,0.6632,0.6583,5.6,25799,56155,46500
Thiel College,0.655,NULL,22137,39573,0.458,0.3444,0.847,13.8,28000,57911,37200
Thomas Jefferson University,NULL,NULL,NULL,NULL,0.2306,NULL,0.6208,0.8,12500,35601,78000
Fortis Institute-Erie,NULL,NULL,19522,26097,0.8294,NULL,0.7514,13.6,13795,21355,25800
Triangle Tech Inc-Erie,NULL,NULL,18924,26420,0.7294,NULL,0.9412,6.1,18934,24332,30800
Triangle Tech Inc-Pittsburgh,NULL,NULL,18262,25506,0.7887,NULL,0.834,15.2,20000,32323,35500
Triangle Tech Inc-Greensburg,NULL,NULL,13198,21659,0.4727,NULL,0.7576,10.6,14750,47415,37700
Triangle Tech Inc-Dubois,NULL,NULL,15520,25457,0.6628,NULL,0.8081,8.9,12000,31600,35800
Trinity Episcopal School for Ministry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.8,NULL,NULL,NULL
Ursinus College,0.6633,NULL,18920,57163,0.2155,0.7906,0.6988,2.9,27000,89174,51500
Valley Forge Christian College,0.6585,NULL,20226,29736,0.4295,0.4176,0.7085,10.7,27000,53124.5,28500
Valley Forge Military College,0.7484,NULL,32262,43500,0.4194,NULL,0.7944,18.3,12000,85917,47700
Venus Beauty Academy,NULL,NULL,16687,NULL,0.2902,NULL,0.5078,8.8,8027,27590.5,17400
Villanova University,0.489,NULL,19336,56265,0.1156,0.9008,0.4356,2,27000,112696,73700
Washington Hospital School of Nursing,0.25,NULL,19169,24119,0.4615,NULL,0.8392,17.6,20493.5,45439,49900
Washington Hospital School of Radiography,NULL,NULL,NULL,NULL,0.3333,NULL,0.6667,17.6,20493.5,45439,49900
Washington & Jefferson College,0.3973,NULL,20537,49507,0.2393,0.7709,0.7481,2.8,27000,95549.5,49900
Waynesburg University,0.7523,NULL,14100,28822,0.3399,0.5398,0.8301,5.1,27000,64789,44700
Welder Training and Testing Institute,NULL,NULL,11847,NULL,0.4207,NULL,0.4878,21.1,9500,28552,NULL
West Chester University of Pennsylvania,0.5156,17090,NULL,24997,0.2406,0.6864,0.6315,5.2,23811,82783,46500
Western Pennsylvania Hospital School of Nursing,0.1296,NULL,8403,17603,0.3803,NULL,0.6479,1.8,15623,56585,49500
Sanford-Brown Institute-Pittsburgh,NULL,NULL,14159,20044,0.8265,NULL,0.8866,24.2,20000,16168,23200
Westminster College,0.7336,NULL,17112,42474,0.3058,0.7653,0.7551,2.6,27000,75532,44400
Westminster Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.6,NULL,NULL,NULL
Westmoreland County Community College,NULL,3512,NULL,6230,0.4219,NULL,0.34,15.4,NULL,27916.5,29300
Widener University-Main Campus,0.6726,NULL,24052,50294,0.2699,0.5601,0.7225,5.8,27800,60128,51700
Wilkes University,0.7598,NULL,20327,42612,0.3102,0.579,0.7381,5.1,27000,71479.5,49900
Wilson College,0.5267,NULL,21939,39818,0.3768,0.5732,0.7069,8,27000,43650,32600
Yeshivath Beth Moshe,NULL,NULL,5325,13975,0.3396,0.7647,0.4151,0,NULL,58887,NULL
York College Pennsylvania,0.7351,NULL,17791,27266,0.2422,0.5777,0.6847,4.9,26903,86883.5,47900
YTI Career Institute-York,NULL,NULL,7300,NULL,0.6771,NULL,0.8123,21.3,12428,44788,35700
Yorktowne Business Institute,NULL,NULL,17745,23415,0.7411,NULL,0.8071,9.8,22020.5,21262,24000
Empire Beauty School-Providence,NULL,NULL,13678,NULL,0.7937,NULL,0.7103,17.4,9833,23722,21100
Brown University,0.0918,NULL,6104,58140,0.1444,0.9452,0.2317,1.3,16000,84559,59700
Bryant University,0.7655,NULL,26466,50858,0.1676,0.8198,0.6148,2.5,27000,104089,61900
Johnson & Wales University-Providence,0.7602,NULL,22696,40136,0.3349,0.5783,0.7804,11,27000,55421,35100
Sanford-Brown Institute-Cranston,NULL,NULL,NULL,NULL,0.2083,NULL,0.2266,21.4,9782.5,24268,34100
New England Institute of Technology,NULL,NULL,24337,30656,0.4836,0.511,0.7645,2.1,20000,47537,38800
New England Tractor Trailer Training School of Rhode Island,NULL,NULL,10543,NULL,0.562,NULL,0.5528,18.1,6333,26374,NULL
Newport School of Hairdressing-Main Campus,NULL,NULL,NULL,NULL,0.7015,NULL,0.6119,0,6900,16263,13000
Providence College,0.5979,NULL,22130,56184,0.1341,0.8504,0.5326,2.3,27000,110798,59600
Rhode Island College,0.6915,6372,NULL,14858,0.3896,0.4292,0.5734,6.3,22300,52408,39600
Community College of Rhode Island,NULL,5222,NULL,10617,0.5571,NULL,0.2801,10.3,8500,21251,29100
University of Rhode Island,0.7871,12777,NULL,26262,0.2674,0.6344,0.7029,7.3,23250,78122.5,48200
Rhode Island School of Design,0.2731,NULL,32387,59597,0.1537,0.8732,0.3907,3.3,26024.5,75194,47300
Roger Williams University,0.8098,NULL,26419,48476,0.136,0.6255,0.5586,2.9,27000,102439,47200
Salve Regina University,0.6706,NULL,25429,48219,0.2333,0.6403,0.7204,2.7,27000,100931,48300
St Joseph School of Nursing,NULL,NULL,19807,23520,0.5217,NULL,0.8696,7.1,29500,54818.5,NULL
Empire Beauty School-Warwick,NULL,NULL,13215,NULL,0.5549,NULL,0.7256,17.7,11096,29205,18700
Northpoint Bible College,NULL,NULL,19094,23281,0.4897,0.5106,0.5747,15.2,25000,45987,25000
Aiken Technical College,NULL,5226,NULL,10179,0.5651,NULL,0.2204,0,9306,17552.5,25300
Allen University,NULL,NULL,13567,21447,0.8914,0.2286,0.8869,31.8,37676,20261,19400
Anderson University,0.6502,NULL,15398,35340,0.3422,0.4138,0.6056,9.6,27000,58707.5,32800
Charleston Southern University,0.6887,NULL,14966,33245,0.4667,0.3615,0.7398,8.8,28000,44120.5,36100
Technical College of the Lowcountry,NULL,3804,NULL,9742,0.5896,NULL,0.1343,10.7,8081,18675,24900
Benedict College,NULL,NULL,17419,30534,0.8279,0.2997,0.9232,32.7,43515,23066,21400
Bob Jones University,0.8241,NULL,14383,25781,0.413,0.6127,0.3931,0.9,19000,NULL,NULL
Southern Wesleyan University,0.937,NULL,16298,31054,0.4863,0.4426,0.6908,9.7,30575,43811,41300
Charleston Cosmetology Institute,NULL,NULL,12337,NULL,0.4045,NULL,0.4607,18.8,6683,23077.5,19400
College of Charleston,0.7031,12343,NULL,25086,0.2257,0.6448,0.4288,6.6,22341,71255,39700
Charzanne Beauty College,NULL,NULL,12568,NULL,0.4592,NULL,0.102,0,NULL,14284,14500
Northeastern Technical College,NULL,7563,NULL,13226,0.6834,NULL,0,0,NULL,19268,24500
Citadel Military College of South Carolina,0.8041,12305,NULL,24827,0.2355,0.6885,0.5215,5.7,24211,83389,52500
Claflin University,0.526,NULL,16214,29849,0.8041,0.437,0.8994,14.4,30000,27154,27500
Clemson University,0.5787,11553,NULL,27944,0.1782,0.8253,0.4174,4,22388.5,87306,49400
Clinton College,NULL,NULL,4835,11215,0.9784,0.5893,0.9137,28.7,13250,21106,12600
Coker College,0.5326,NULL,15434,32029,0.5515,0.4322,0.7853,8.7,31750,34833,32800
Columbia International University,0.6258,NULL,13099,28141,0.4828,0.6522,0.8076,6.5,20500,46934,29600
Columbia College,0.6499,NULL,15405,37599,0.5924,0.4244,0.7994,12,29527,39118,31800
Converse College,0.5201,NULL,16910,39748,0.4545,0.6194,0.7771,6,27000,50064,33400
Denmark Technical College,NULL,6568,NULL,11709,0.798,NULL,0.6718,25,6500,14458,16800
Erskine College,0.6973,NULL,15539,45198,0.3565,0.5644,0.6173,6.8,27000,66611,36000
Florence-Darlington Technical College,NULL,5633,NULL,11747,0.6548,NULL,0.4084,22.3,12000,19479,25100
Forrest College,NULL,NULL,17671,22865,0.9412,NULL,0.9265,23.9,17309,16142,20600
Francis Marion University,0.5667,11013,NULL,19965,0.5603,0.4059,0.7148,11,31251,38222,32300
Furman University,0.6397,NULL,14673,55434,0.146,0.8426,0.3381,2.7,24736.5,93139.5,47500
Greenville Technical College,NULL,8249,NULL,13716,0.5077,NULL,0.5626,17.5,19178,26451,28700
Horry-Georgetown Technical College,NULL,7067,NULL,12890,0.5944,NULL,0.5679,20.8,16000,19652,25100
Kenneth Shuler School of Cosmetology-North Augusta,NULL,NULL,12094,NULL,0.6,NULL,0.6148,13,8966,14140,17200
Kenneth Shuler School of Cosmetology and Nails-Columbia,NULL,NULL,15642,NULL,0.5425,NULL,0.5098,9.5,9500,17992.5,14600
Lander University,0.4216,12024,NULL,21628,0.4914,0.515,0.6743,10,26780,45814,33900
Limestone College,0.5322,NULL,20018,34658,0.5202,0.3644,0.6825,13.1,29250,31465.5,36100
Lenoir-Rhyne University-Lutheran Theological Southern Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,NULL,NULL,NULL
Medical University of South Carolina,NULL,NULL,NULL,NULL,0.1324,NULL,0.8824,1.3,3000,21383,73400
