INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Global MBA Latin American Managers Program Satellite Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2,NULL,NULL,NULL
American Indian College of the Assemblies of God Inc,NULL,NULL,12580,20601,0.7945,0.5,0.6986,31.7,NULL,11429,NULL
American Institute of Technology,NULL,NULL,18901,NULL,0.4933,NULL,0.7451,8.9,6215,24261,30700
Carrington College-Phoenix,1,NULL,20286,NULL,0.7255,0.6443,0.6062,21.3,9500,17083,26200
Carrington College-Mesa,1,NULL,21915,NULL,0.7296,NULL,0.5289,21.3,9500,NULL,26200
Carrington College-Tucson,1,NULL,21070,NULL,0.6507,NULL,0.5356,21.3,9500,NULL,26200
College America-Flagstaff,NULL,NULL,20877,26842,0.8431,0.4667,0.9569,26.3,25667.5,17390,NULL
Arizona Academy of Beauty-East,NULL,NULL,12938,NULL,0.575,NULL,0.475,15.7,5975,13453,17600
Arizona Automotive Institute,NULL,NULL,28262,NULL,0.7742,NULL,0.7971,NULL,13000,22059,33900
Brookline College-Phoenix,NULL,NULL,25343,NULL,0.6609,0.4664,0.6346,18.7,9500,9091,22300
Arizona State University-Tempe,0.8023,8553,NULL,21960,0.3376,0.5947,0.4784,8.5,20375,43477,45200
Arizona Western College,NULL,9039,NULL,14337,0.5803,NULL,0.0554,21.4,6000,23864.5,25600
University of Arizona,0.7692,10833,NULL,23905,0.3265,0.6139,0.3962,7,19000,46758,44400
Southwest University of Visual Arts-Tucson,NULL,NULL,46327,49519,0.5308,0.8333,0.6777,19.7,50437,27715,27500
Brillare Hairdressing Academy,NULL,NULL,12436,NULL,0.5724,NULL,0.633,12.4,11789,48405,19900
Central Arizona College,NULL,3587,NULL,9205,0.4644,NULL,0.1783,22.6,10500,23064,28700
Brown Mackie College-Tucson,NULL,NULL,19565,24344,0.8355,0.1622,0.7398,24.6,21599,17374,25200
Charles of Italy Beauty College,NULL,NULL,10160,NULL,0.6291,NULL,0.5828,19.7,7389,20597,16500
Cochise College,NULL,4824,NULL,9792,0.308,NULL,0.0706,9,8468,18721,31200
Empire Beauty School-Flagstaff,NULL,NULL,12223,NULL,0.7474,NULL,0.6947,15.8,8167,25702,16900
Empire Beauty School-Chandler,NULL,NULL,11996,NULL,0.7113,NULL,0.6753,15.8,8167,25702,16900
