INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Talmudical Institute of Upstate New York,1,6.322,13,0.2632,0.3333,0,0,NULL,NULL,NULL
Torah Temimah Talmudical Seminary,1,7.607,16.03,0.3194,0.0217,0,0,NULL,31.6825,NULL
Touro College,0.5866,12.855,23.347,0.5805,0.3463,0.5359,6.7,12.5,16.612,29.4
Excelsior College,NULL,NULL,NULL,0.05,NULL,0.0689,4.3,10.453,NULL,NULL
United Talmudical Seminary,NULL,4.818,15.572,0.8949,0.4325,0,0,NULL,11.238,13.4
United States Merchant Marine Academy,NULL,1.229,6.603,0.076,0.7365,0.078,2.4,4.211,90.159,89
Utica College,0.8542,19.587,44.394,0.3817,0.4715,0.7214,8.5,25,55.077,44.7
Vassar College,0.2411,5.062,59.32,0.2199,0.9365,0.3716,0.3,17.545,102.049,47.1
School of Visual Arts,0.7489,33.863,48.993,0.2451,0.6459,0.4736,7.1,27,51.909,40.1
Wagner College,0.6988,21.601,49.453,0.1904,0.6136,0.6318,3.7,27,94.891,53.8
Webb Institute,0.2952,16.2,18.52,0.0759,0.7391,0.1646,0,NULL,100.216,NULL
Wells College,0.5967,16.817,48.142,0.485,0.5805,0.8233,5,27,50.673,33.6
Yeshiva Karlin Stolin,1,4.14,12.927,0.9018,0.6667,0,0,NULL,11.5585,NULL
Yeshivat Mikdash Melech,1,1.23,16.8,0.4444,0.0606,0,0,NULL,29.831,NULL
Yeshiva Derech Chaim,1,7.596,17.26,0.4646,0.3333,0,0,NULL,29.555,NULL
Yeshiva of Nitra Rabbinical College,NULL,5.144,14.737,0.7682,0.2813,0,0,NULL,12.292,13.7
Yeshiva Shaar Hatorah,0.8438,4.518,16.36,0.1169,0.8788,0,0,NULL,39.316,NULL
Yeshiva University,0.8216,21.694,53.825,0.181,0.8519,0.2656,3.3,19.361,87.607,55.6
Yeshivath Viznitz,1,5.225,15.573,0.8707,0.7423,0,0,NULL,12.8045,13.5
Yeshivath Zichron Moshe,1,8.579,18.1,0.5951,0,0,0,NULL,33.0075,NULL
Appalachian State University,0.6323,7.48,17.78,0.259,0.6857,0.4596,4.8,19.526,69.1,36.6
Barton College,0.4177,19.457,37.437,0.4955,0.4839,0.781,9.2,27.5,43.7635,36.5
Belmont Abbey College,0.6759,21.604,39.328,0.4613,0.381,0.7966,14,27,55.427,39.2
Bennett College,0.8261,18.935,28.398,0.7185,0.4439,0.8699,17.2,37,39.036,29.4
Brevard College,0.4489,16.657,35.062,0.4155,0.432,0.6872,10.3,27,58.691,31.1
Campbell University,0.6983,20.962,40.323,0.3689,0.4893,0.735,6.7,24.6235,50.771,42.9
Catawba College,0.4058,18.701,37.818,0.4301,0.5263,0.678,12,22.78,61.774,36.6
Chowan University,0.6154,17.447,32.188,0.6713,0.244,0.8486,20.7,32,41.295,35.4
Davidson College,0.2561,8.976,54.93,0.1313,0.9246,0.2134,2.2,16.6625,111.52,58.5
Duke University,0.1342,6.28,59.528,0.1366,0.9423,0.371,1.1,6.5,73.265,76.7
East Carolina University,0.6217,9.439,19.851,0.3211,0.5631,0.5528,6.7,23.7755,53.731,39.2
Elizabeth City State University,0.5715,1.213,10.62,0.7029,0.4159,0.7652,22.9,24.886,26.308,30.1
Elon University,0.5398,19.919,41.679,0.0911,0.8165,0.3375,2.4,24.5,104.953,44.5
Fayetteville State University,0.5496,5.006,13.188,0.5873,0.3215,0.7136,13.2,21.232,26.6105,31.1
Gardner-Webb University,0.4817,19.88,35.79,0.2372,0.569,0.4012,9.7,23.377,46.3795,36.8
Greensboro College,0.7831,13.353,37.497,0.4037,0.3059,0.7619,10.8,26.375,58.496,35.1
Guilford College,0.6818,24.356,44.255,0.4992,0.5676,0.6649,10.1,27.325,36.0825,38.5
Heritage Bible College,NULL,9.186,13.84,0.9014,0.1111,0.7887,23.9,NULL,16.453,NULL
High Point University,0.6418,28.606,42.3,0.1264,0.6176,0.4891,9.4,25.3945,47.9075,37.5
Laurel University,0.3904,12.688,17.288,0.5307,0.6667,0.7401,5,21.25,44.8935,28.3
Johnson C Smith University,0.3668,16.518,30.314,0.6938,0.4431,0.834,27.4,32,34.2565,31.3
Lees-McRae College,0.6648,18.688,37.299,0.4898,0.3842,0.7515,10,21,51.124,34.4
Lenoir-Rhyne University,0.6806,17.568,39.425,0.4514,0.4877,0.6917,11.5,25,62.4125,36.9
Livingstone College,0.7122,15.385,25.05,0.8344,0.2036,0.9334,25.5,40,28.5385,26.1
Mars Hill University,0.6447,17.139,36.669,0.7646,0.3818,0.8905,19.3,26.75,50.049,32.8
Meredith College,0.6232,19.966,39.296,0.352,0.6242,0.6871,5.7,27,56.9595,38.4
Methodist University,0.6122,23.148,45.011,0.3904,0.4249,0.5739,11.2,NULL,45.6885,39.6
Montreat College,0.5429,14.785,33.963,0.4119,0.419,0.6733,7.9,27,51.073,40.8
Mount Olive College,0.4979,11.089,26.161,0.5005,0.3833,0.7001,10.3,26.5,38.102,39.2
North Carolina A & T State University,0.6964,6.966,15.313,0.5878,0.4289,0.7788,18,23.0055,37.6685,33.6
University of North Carolina at Asheville,0.6403,7.798,17.468,0.3187,0.5954,0.4633,7.3,20.508,48.654,36
University of North Carolina at Chapel Hill,0.2759,6.543,23.069,0.2053,0.9002,0.3192,2.3,15.906,64.9695,50.4
University of North Carolina at Charlotte,0.6852,8.71,17.767,0.4046,0.539,0.5879,6.2,23.005,51.983,41.7
University of North Carolina at Greensboro,0.6002,7.88,17.362,0.4432,0.5541,0.5872,7.5,22.5,50.195,37
North Carolina Central University,0.5033,8.995,17.873,0.635,0.3972,0.8126,16.8,30.203,29.88,31.6
University of North Carolina School of the Arts,0.4521,7.155,19.666,0.3132,0.5968,0.5711,6,26.1875,69.6335,30.5
North Carolina State University at Raleigh,0.5001,6.973,20.511,0.2247,0.7359,0.424,4.1,20.5,66.351,47.5
North Carolina Wesleyan College,0.4676,16.974,36.686,0.6787,0.332,0.8449,20.2,22.92,38.1645,35.9
University of North Carolina Wilmington,0.5419,8.543,18.165,0.2825,0.7099,0.5109,6.7,20.624,63.6085,38.7
William Peace University,0.9086,15.692,37.712,0.7155,0.3978,0.8851,9.2,25.488,57.299,35.9
University of North Carolina at Pembroke,0.7204,8.345,15.784,0.5349,0.327,0.6704,15.9,21,36.2895,33.4
Pfeiffer University,0.9609,19.506,34.515,0.4393,0.4815,0.845,10.7,24.18,49.533,37.5
Piedmont International University,0.4884,13.544,22.699,0.3941,0.4,0.4873,11.2,20.5,39.036,30.7
Queens University of Charlotte,0.7686,20.614,40.93,0.3274,0.5207,0.6239,5.6,25,45.2485,38.6
Mid-Atlantic Christian University,0.4107,15.476,24.257,0.7,0.5862,0.8733,19.1,32.445,47.354,27.6
Saint Augustine's University,0.6738,23.723,31.095,0.7454,0.2926,0.8594,37.3,37,31.823,28.2
Salem College,0.582,12.722,39.859,0.564,0.6387,0.7915,6.9,23,40.939,33.2
Shaw University,0.5449,18.236,27.079,0.7893,0.3044,0.9217,18.2,39.748,25.825,27.4
St Andrews University,0.6448,14.237,38.467,0.417,0.4626,0.7319,16.7,20.4125,60.4645,35.8
Southeastern Baptist Theological Seminary,0.6721,NULL,NULL,0,0.5556,0,0,NULL,NULL,NULL
Wake Forest University,0.352,26.148,58.26,0.1202,0.8646,0.3468,1.3,22.81,103.314,61
Warren Wilson College,0.696,18.728,41,0.331,0.5064,0.588,6.3,21.5,65.481,25.5
Wingate University,0.793,12.93,35.465,0.3824,0.5305,0.7468,7.3,25.9765,68.6425,37
Carolina Christian College,NULL,5.718,12.3,0.4569,NULL,1,32.2,17.875,36.83,NULL
Winston-Salem State University,0.5565,7.329,15.99,0.572,0.4553,0.7249,16,27.687,30.5595,33.3
Western Carolina University,0.3766,8.82,17.805,0.3814,0.5108,0.5798,8.1,21.249,55.82,35.1
Dickinson State University,0.4868,8.102,13.314,0.2341,0.3915,0.4273,7.1,20.362,47.2455,37
University of Jamestown,0.5689,14.776,27.712,0.2778,0.5227,0.6554,5.8,27,68.9405,38.6
University of Mary,0.8307,11.143,22.936,0.2362,0.4858,0.5882,4.6,23.152,59.522,45.7
Mayville State University,NULL,9.454,15.452,0.297,0.3596,0.5434,12.3,21.652,54.695,34
Sanford College of Nursing,NULL,NULL,NULL,0.2844,NULL,0.7431,0,13,36.468,52.3
Minot State University,0.5662,8.036,14.549,0.2317,0.3732,0.3951,6.5,22,43.54,37.2
University of North Dakota,0.737,14.338,20.538,0.2087,0.5529,0.5382,3.6,24.5,72.8415,46.6
North Dakota State University-Main Campus,0.841,10.604,18.277,0.2251,0.5308,0.5629,3.3,25.05,71.695,46.3
Trinity Bible College,NULL,17.208,24.764,0.7225,0.3667,0.8414,17.8,26.5,42.354,26.8
Valley City State University,0.829,9.066,16.086,0.2644,0.462,0.4761,4.8,22.7775,55.533,36.7
University of Akron Main Campus,0.9649,15.636,21.338,0.4149,0.4166,0.6238,13.5,26.812,42.489,34.8
Allegheny Wesleyan College,NULL,4.445,11.857,0.5652,0.5385,0.5652,9,NULL,26.27,NULL
Art Academy of Cincinnati,0.2548,16.456,32.485,0.4167,0.5313,0.7813,5,27,73.527,27.9
Ashland University,0.7438,19.701,40.835,0.2861,0.5634,0.5886,4.7,27,63.1875,39.2
Baldwin Wallace University,0.6396,14.795,37.504,0.333,0.7088,0.7876,3.1,27,74.03,44
Bluffton University,0.5308,18.013,40.078,0.3881,0.5971,0.7911,8.4,27,68.081,38.3
Bowling Green State University-Main Campus,0.7247,14.906,22.416,0.343,0.541,0.6873,11.7,26,70.038,39
Capital University,0.7604,20.005,42.6,0.296,0.5821,0.8018,4.9,27,64.1465,41.4
Case Western Reserve University,0.4188,17.461,55.783,0.2004,0.8012,0.4815,1.3,25,57.74,67
Cedarville University,0.7401,17.74,33.652,0.2078,0.7263,0.5278,1.4,25,83.099,40.9
Central State University,0.3328,10.734,17.38,0.7576,0.2518,0.8294,20.9,39.068,25.877,24.9
Cincinnati Christian University,0.6398,11.297,25.9,0.4874,0.3894,0.7386,9.3,27,52.439,31
University of Cincinnati-Main Campus,0.7325,16.803,25.799,0.2658,0.579,0.5545,10,23.9475,50.863,39.4
Ohio Christian University,0.9711,27.968,33.077,0.5686,0.3143,0.7138,11.5,27,35.443,32.8
Cleveland Institute of Art,0.6825,26.639,50.146,0.4424,0.5979,0.7824,5.4,28,71.264,32.7
Cleveland Institute of Music,0.5475,30.384,59.724,0.1514,0.6271,0.51,2.2,27,60.853,31.1
Cleveland State University,0.6287,15.101,22.041,0.4344,0.3198,0.6316,9,24,31.001,39.3
Columbus College of Art and Design,0.8551,22.31,39.478,0.3727,0.5908,0.7123,10.2,27,63.255,32.8
University of Dayton,0.5297,22.146,46.25,0.1188,0.7674,0.6791,2,26.863,108.9175,52.3
Defiance College,0.716,19.98,38.824,0.4646,0.4558,0.8233,11.6,27,65.722,37
Denison University,0.4597,10.549,54.49,0.1813,0.8137,0.5224,2.9,25,101.305,48.6
The University of Findlay,0.6832,18.021,38.941,0.2009,0.564,0.4915,4.4,23.25,71.474,40.6
Franklin University,NULL,22.125,26.71,0.4732,0.1471,0.698,12.4,25,33.2545,48.3
Gods Bible School and College,1,8.987,14.597,0.4645,0.3929,0.1677,9.3,8.68,30.8205,26.3
Heidelberg University,NULL,18.045,35.668,0.4288,0.5068,0.8432,9,28.974,71.4335,38
Hiram College,0.5736,18.587,42.672,0.4107,0.6456,0.7378,9.8,27,63.0235,39
John Carroll University,0.8334,16.335,45.714,0.273,0.7528,0.6694,3.7,27,88.73,51
Kent State University at Kent,0.8302,16.003,23.995,0.3443,0.5152,0.6339,14.7,26.225,51.56,36.6
Kenyon College,0.3838,9.085,57.91,0.1026,0.8908,0.5195,1.5,18.3045,110.054,43.7
Lake Erie College,0.5561,15.739,39.085,0.4096,0.4473,0.7604,8.4,27,54.053,33.4
Lourdes University,0.6932,15.35,27.429,0.5722,0.3592,0.823,15.9,32.65,30.5825,36
Malone University,0.7179,12.026,35.213,0.3991,0.5866,0.7211,6.4,25.5,63.498,38.5
Marietta College,0.6387,16.247,42.205,0.3019,0.5529,0.7122,7,27,71.762,42.6
Miami University-Hamilton,NULL,11.996,17.107,0.4741,0.2801,0.5892,14.7,25,81.4245,45.8
Miami University-Middletown,NULL,12.907,18.054,0.4656,0.2256,0.5841,14.7,25,81.4245,45.8
Miami University-Oxford,0.6676,17.946,30.858,0.1553,0.8084,0.4162,14.7,25,81.4245,45.8
Mount Carmel College of Nursing,0.5421,17.082,25.491,0.2562,0.5595,0.6704,2.9,19.5,63.567,57.7
University of Mount Union,0.712,23.815,37.502,0.3177,0.6273,0.8161,7.3,27,74.7015,40.8
Mount Vernon Nazarene University,0.6349,16.393,33.321,0.4248,0.6086,0.7568,6.6,26.493,64.078,39.1
College of Mount St Joseph,0.8755,12.001,31.989,0.3152,0.5821,0.6543,10.5,32,62.912,39.9
Muskingum University,0.7596,13.575,33.63,0.4235,0.4791,0.8113,6.6,27,70.305,39.4
Notre Dame College,0.9024,15.827,36.25,0.3493,0.387,0.7526,7.9,27,47.506,39.2
Oberlin College,0.3041,10.297,59.683,0.1072,0.8857,0.3717,2,25.217,97.279,38.4
Ohio Dominican University,0.494,20.657,40.37,0.347,0.4092,0.5994,7.4,29.7545,49.1375,39.5
Ohio Northern University,0.6785,18.317,49.618,0.24,0.7175,0.7284,2.7,27,89.742,54.3
Ohio State University-Main Campus,0.5553,11.003,24.524,0.2224,0.8323,0.4587,7.1,22.25,65.6005,42.6
Ohio University-Main Campus,0.7295,14.499,23.605,0.2339,0.6657,0.518,15,22.5,62.815,39.5
Ohio Wesleyan University,0.7533,24.135,52.819,0.2177,0.6319,0.5926,5.1,27,87.265,41
Otterbein University,0.7374,21.143,41.646,0.2546,0.5886,0.6996,6.5,27,75.737,41.2
Pontifical College Josephinum,NULL,32.81,35.748,0.0758,0.7727,0.2424,0,NULL,69.954,NULL
Rabbinical College Telshe,0.875,5.943,15.66,0.6038,0.3333,0,0,NULL,39.267,NULL
Shawnee State University,NULL,13.525,17.742,0.5567,0.2693,0.7268,21.3,23.666,31.079,32.2
Franciscan University of Steubenville,0.7607,21.76,32.761,0.2642,0.7346,0.7649,2.2,25,82.6555,35.5
Ohio Mid-Western College,NULL,15.64,23.584,0.8466,0,0.9325,13.1,NULL,26.162,NULL
Tiffin University,0.3856,26.122,34.771,0.6175,0.461,0.7577,18.9,26.5645,56.315,38.2
University of Toledo,0.9073,12.905,21.263,0.3792,0.4543,0.5921,13.5,24.994,57.163,40.2
Tri-State Bible College,NULL,NULL,NULL,0.5833,NULL,0.5833,23,NULL,26.112,NULL
Union Institute & University,NULL,18.917,24.093,0.6082,0.3125,0.8424,5.4,18.75,39.769,39.3
Urbana University,NULL,15.716,31.686,0.3527,0.3042,0.5139,12.1,27,60.323,37.5
Ursuline College,0.5782,12.732,35.976,0.4232,0.5,0.7725,6.1,29.25,39.096,42.9
Walsh University,0.7713,14.194,34.994,0.3307,0.5519,0.8373,6,27,67.42,41.8
Wilberforce University,0.5834,18.021,24.4,0.8229,0.1289,0.9486,18.8,29.75,30.893,32.2
Wilmington College,0.4603,18.542,39.415,0.4479,0.3841,0.7822,9.4,27,61.722,39
Wittenberg University,0.8932,23.838,50.728,0.2637,0.6261,0.6768,6.4,27,89.184,42.7
The College of Wooster,0.5633,12.255,51.3,0.1938,0.7505,0.5144,6.6,25.5,88.8815,44.4
Wright State University-Main Campus,NULL,13.463,20.762,0.4049,0.4146,0.6136,10.4,25.187,52.1975,38.8
Xavier University,0.6997,24.109,45.08,0.1827,0.7646,0.5802,3.7,27,88.138,48.8
Youngstown State University,NULL,10.918,17.35,0.512,0.3266,0.6905,20.3,28,39.369,34.8
Bacone College,0.7182,13.9,26.4,0.9451,0.0536,0.9001,24.1,24.398,28.57,30.6
Oklahoma Wesleyan University,0.4934,19.643,32.241,0.4207,0.5688,0.8123,7.4,23.166,53.772,44
Southern Nazarene University,NULL,18.456,31.21,0.5369,0.4702,0.7944,7,18.75,53.978,45.8
Cameron University,NULL,8.115,14.852,0.4859,0.2025,0.4073,19.3,18.6025,23.8345,33.9
University of Central Oklahoma,0.8398,9.031,16.684,0.3496,0.3562,0.4162,10.5,22.25,36.7565,38.4
East Central University,0.9814,7.325,13.735,0.4848,0.3384,0.4532,16.9,19.5,27.762,34.5
Hillsdale Free Will Baptist College,0.4331,13.792,23.637,0.5373,0.5119,0.6169,15.1,17.5,37.236,33.4
Langston University,NULL,6.133,13.531,0.7167,0.2057,0.7808,25.5,30.201,20.3345,28.4
Northeastern State University,0.7337,5.276,13.296,0.4926,0.2969,0.5201,16.4,18.471,28.559,35
Northwestern Oklahoma State University,0.598,3.862,13.065,0.4177,0.314,0.4301,16,15,33.698,36.1
Oklahoma Christian University,0.6321,15.672,29.359,0.2707,0.4875,0.5196,6.3,25.25,70.327,35.6
University of Oklahoma-Health Sciences Center,NULL,NULL,NULL,0.2949,NULL,0.6377,4.9,20,50.281,46.6
Oklahoma Panhandle State University,0.4767,9.783,15.439,0.4554,0.2264,0.5161,16.2,18.154,33.556,34.4
Oklahoma State University-Main Campus,0.7602,10.163,21.338,0.2914,0.5956,0.4371,8,20.5,52.462,43.4
Oklahoma Baptist University,0.5646,13.783,31.759,0.3326,0.546,0.5045,5.7,24.896,58.859,35.3
Oklahoma City University,0.7198,20.046,41.431,0.1991,0.6075,0.4877,7.8,24.168,52.723,39.4
University of Oklahoma-Norman Campus,0.8044,13.873,23.263,0.2491,0.6629,0.3806,4.9,20,49.891,46.6
Oral Roberts University,0.4354,19.157,35.07,0.4396,0.5336,0.6733,10.8,27,53.889,34.9
Rogers State University,0.5445,10.92,17.213,0.4721,0.2131,0.4682,15.6,19,29.974,32.6
Saint Gregory's University,0.9468,11.748,32.671,0.4193,0.241,0.6456,18.7,25.25,39.0565,38.2
University of Science and Arts of Oklahoma,0.6246,5.744,15.44,0.464,0.3788,0.4761,17.5,19.5915,36.561,30.7
Southeastern Oklahoma State University,0.7992,6.73,14.05,0.4777,0.3059,0.4546,16.3,16.443,28.378,34.3
Southwestern Christian University,0.884,19.828,22.983,0.6522,0.2973,0.7856,13.2,23.316,36.041,28.2
Southwestern Oklahoma State University,0.9026,7.777,16.66,0.3921,0.3292,0.6484,18.8,16.759,35.512,37
University of Tulsa,0.4059,20.886,46.56,0.1557,0.6882,0.3177,7.2,25,64.324,43.2
The Art Institute of Portland,NULL,25.945,31.642,0.5645,0.3107,0.7974,11.4,35.287,39.427,33
Concordia University-Portland,0.5592,16.98,35.963,0.4485,0.5549,0.74,4.2,26.74,53.453,41.8
Eastern Oregon University,0.67,11.713,18.959,0.5105,0.2325,0.5992,8.4,22.5,38.491,37.8
New Hope Christian College-Eugene,0.1594,12.928,21.311,0.5766,0.3636,0.6712,15.6,24.711,46.889,23.2
George Fox University,0.7528,20.194,41.836,0.364,0.623,0.6722,4.7,22,66.182,43.3
Lewis & Clark College,0.6285,21.349,53.455,0.2135,0.7451,0.6599,1.9,22.3895,67.573,43.4
Linfield College-McMinnville Campus,0.9219,20.545,45.708,0.255,0.6786,0.6392,3.3,25,65.697,51.3
Marylhurst University,0.3889,31.095,34.155,0.5239,0.2143,0.776,2.1,31.831,32.475,33.3
Mount Angel Seminary,1,26.367,31.917,0.2597,0.5789,0.0519,0,NULL,7.471,NULL
Multnomah University,0.538,21.12,33.878,0.5924,0.4714,0.7117,3.7,25,46.586,31.4
Northwest Christian University,0.7044,17.586,34.807,0.4956,0.4615,0.8114,4,24.2295,49.421,38.5
Oregon Health & Science University,NULL,NULL,NULL,0.3176,NULL,0.7782,1.1,15.3645,19.452,74.1
Oregon Institute of Technology,0.7135,10.749,18.801,0.3621,0.444,0.5068,5.1,26.067,38.541,50.1
Oregon College of Art and Craft,0.3053,21.369,35.85,0.539,0.3333,0.8052,11.4,35.5,19.528,NULL
Oregon State University,0.7894,14.1,22.974,0.3339,0.6147,0.5162,5,23.166,54.955,46.4
University of Oregon,0.7417,12.077,22.39,0.2585,0.6653,0.418,5.8,21.535,54.318,41.6
Pacific Northwest College of Art,0.6474,24.198,43.235,0.5,0.3556,0.8789,14.5,28.7,31.3075,22.6
Pacific University,0.8619,22.825,47.922,0.3145,0.6156,0.8608,1.8,25.75,66.418,42.3
Portland State University,0.6117,11.64,19.843,0.4019,0.417,0.5297,6,24.5685,29.5255,42.8
University of Portland,0.668,22.442,51.036,0.2189,0.755,0.5196,1.1,25,86.897,51.7
Reed College,0.4853,15.841,57.701,0.1718,0.819,0.3582,2.3,16.0985,69.1235,36.2
Southern Oregon University,0.7304,11.577,18.285,0.3855,0.367,0.4882,10.6,22.804,40.0965,37.3
Warner Pacific College,0.5274,19.12,30.83,0.5336,0.3152,0.8312,7,26.643,47.919,36.1
Corban University,0.3225,20.041,38.834,0.333,0.5459,0.6272,3.7,24.493,65.5005,34.2
Willamette University,0.5784,21.983,52.665,0.207,0.7883,0.5031,3.5,23.5,82.978,49.2
Western Oregon University,0.882,14.998,21.732,0.4433,0.4443,0.6583,9.3,25,53.889,38.5
Bryn Athyn College of the New Church,0.5177,5.474,25.576,0.3539,0.5854,0.7284,5,20.85,70.373,NULL
Albright College,0.6231,20.26,46.17,0.4075,0.5371,0.8536,6.7,28.91,66.5775,48.5
Allegheny College,0.6487,18.386,50.044,0.2621,0.7917,0.6808,2.6,28.8,85.933,49.2
DeSales University,0.758,20.709,45.331,0.2666,0.7033,0.6649,3.1,27,77.146,48.3
Alvernia University,0.7762,22.125,39.999,0.346,0.5132,0.6131,6.9,27,53.135,42.6
The Art Institutes of York-PA,NULL,23.044,31.192,0.556,0.6333,0.9025,19.5,29.879,58.703,31.3
The Art Institute of Philadelphia,NULL,25.501,31.69,0.5903,0.2999,0.877,16.6,31,43.565,31.7
The Art Institute of Pittsburgh,NULL,25.516,33.201,0.585,0.3895,0.8517,24.9,40.022,37.234,29.2
Baptist Bible College & Seminary of Pennsylvania,0.8576,15.238,28.001,0.5277,0.4969,0.5092,3.6,16.2885,55.5895,30
Arcadia University,0.5969,21.123,48.907,0.337,0.605,0.7796,4.9,27,76.319,43.7
Bloomsburg University of Pennsylvania,0.8856,14.75,21.732,0.3037,0.6182,0.6848,6.3,25.568,72.2665,43.8
Bryn Mawr College,0.3992,13.203,57.586,0.1861,0.8409,0.4667,1.8,25,70.896,50.4
Bucknell University,0.2951,19.903,59.09,0.1061,0.9076,0.4098,1.3,27,102.976,68.8
Cabrini College,0.7428,19.336,43.541,0.308,0.4561,0.625,5.5,26,91.613,42.7
California University of Pennsylvania,0.9269,14.981,23.081,0.3803,0.4976,0.7454,8,25,60.595,38.1
Carlow University,0.9522,14.823,35.64,0.356,0.6231,0.6302,5.8,27,47.364,39.9
Carnegie Mellon University,0.2549,23.904,59.71,0.137,0.8799,0.3964,0.9,25,90.1075,72
Cedar Crest College,0.588,15.876,41.24,0.4253,0.5991,0.8337,7.3,30.575,53.7435,45.2
Central Penn College,NULL,17.193,24.548,0.5639,0.4545,0.7955,15.6,34.302,47.638,32.1
Chatham University,0.6077,15.343,44.591,0.2928,0.5029,0.5683,2.3,21.8435,47.4535,34.3
Chestnut Hill College,0.5785,19.576,42.663,0.4915,0.4188,0.833,7.6,27,44.204,43
Cheyney University of Pennsylvania,NULL,13.425,21.605,0.7696,0.2482,0.8636,26.9,31,26.084,30
Clarion University of Pennsylvania,0.9348,13.256,20.478,0.388,0.5286,0.7167,8.1,26,57.0555,37.2
Curtis Institute of Music,0.0484,6.286,16.803,0.16,1,0.464,2.9,NULL,70.726,NULL
Delaware Valley College,0.6834,21.641,44.778,0.274,0.5684,0.7023,5.3,26.5,79.773,42.2
Dickinson College,0.4444,13.872,58.149,0.1215,0.8562,0.4329,1.7,21,100.478,52.1
Drexel University,0.815,25.619,53.831,0.2021,0.6951,0.5641,3.5,26.098,69.348,61.1
Duquesne University,0.7409,19.908,42.28,0.2023,0.7688,0.6763,2.8,27,81.511,54.3
East Stroudsburg University of Pennsylvania,0.7844,12.35,20.282,0.3029,0.5604,0.65,5.1,23.955,76.8735,42.9
Eastern University,0.6409,19.366,39.764,0.4091,0.5466,0.7542,8.9,26.1815,70.417,42.8
Edinboro University of Pennsylvania,0.8735,12.5,19.886,0.4558,0.4175,0.7777,10.5,27,51.587,33.9
Elizabethtown College,0.6957,19.701,47.39,0.2175,0.7741,0.7321,3.6,27,90.303,47.7
Faith Theological Seminary,NULL,NULL,NULL,0.0769,0.3143,0.0385,0,NULL,NULL,NULL
Franklin and Marshall College,0.3931,10.068,58.518,0.1416,0.8735,0.4034,2.3,25,113.508,54.8
Gannon University,0.8042,16.676,37.572,0.3185,0.6508,0.6779,7.5,27,68.879,46.2
Geneva College,0.6802,20.158,34.818,0.3866,0.6695,0.9085,6.6,26.4845,60.8235,37.5
Gettysburg College,0.4163,13.344,55.77,0.1404,0.8357,0.5473,2.6,22.227,107.49,52.2
Gwynedd Mercy University,0.6591,19.912,39.051,0.3351,0.6598,0.7278,7.7,26,70.168,52
Haverford College,0.2349,5.648,59.654,0.1502,0.9333,0.2033,3.3,13.8525,89.3125,55.6
Holy Family University,0.7585,11.675,31.949,0.3558,0.5461,0.7181,4.4,27,58.4835,49.9
Immaculata University,0.7964,24.235,45.011,0.2234,0.4828,0.5862,6.1,26,62.48,49
Indiana University of Pennsylvania-Main Campus,0.9049,15.128,22.936,0.362,0.5119,0.7292,8.8,27,63.43,38
Juniata College,0.7409,16.254,47.269,0.2176,0.7507,0.6893,1.6,27,81.0105,45.2
Keystone College,0.7205,12.792,31.012,0.4479,0.4221,0.6641,9.6,26,45.833,31.4
King's College,0.7151,19.764,41.453,0.2917,0.6577,0.766,7,27,78.6875,48.9
Kutztown University of Pennsylvania,0.8179,15.28,23.13,0.316,0.5482,0.7281,6.7,26,74.351,41.4
La Roche College,0.5565,14.282,35.493,0.3833,0.4558,0.7718,6.5,25,62.381,38.7
La Salle University,0.8021,21.911,47.134,0.3598,0.6443,0.6918,3.8,27,71.0455,53.2
Lafayette College,0.3414,13.81,57.688,0.1065,0.8832,0.4236,1.6,24.338,107.123,69.8
Lancaster Bible College,0.5813,16.553,27.372,0.4096,0.6952,0.667,4.3,18.75,60.888,30.4
Lebanon Valley College,0.6686,20.891,46.169,0.2282,0.7311,0.7317,1.4,27,88.0015,46.1
Lehigh University,0.3084,16.096,55.441,0.1472,0.8584,0.4495,0.9,24.75,102.543,76.8
Lincoln University of Pennsylvania,0.6133,13.412,22.497,0.6429,0.3984,0.8911,23.3,33.83,35.974,34.9
Lock Haven University,0.8777,11.2,19.145,0.3919,0.4733,0.7814,8,27,61.119,39.1
Lycoming College,0.7162,16.094,44.256,0.3264,0.6391,0.7829,6.6,27,75.474,42.8
Mansfield University of Pennsylvania,0.9229,13.874,21.432,0.4394,0.4962,0.7758,10.5,27,53.497,38.1
Marywood University,0.713,19.113,41.657,0.3528,0.6511,0.7829,7.1,27,61.757,38
Mercyhurst University,0.7536,15.591,42.367,0.3155,0.6047,0.7072,12.9,25,66.871,38.5
Messiah College,0.659,20.434,41.341,0.2044,0.758,0.668,2.6,26.856,91.486,41.4
Millersville University of Pennsylvania,0.7186,13.763,21.756,0.3148,0.6078,0.6789,5.5,25,73.644,43.2
Misericordia University,0.6489,19.884,38.504,0.2892,0.6923,0.7211,6.8,27,66.143,47.5
Moore College of Art and Design,0.5632,27.658,47.675,0.4336,0.5758,0.8133,9,27,67.507,30.5
Moravian College,0.7995,18.615,45.863,0.3028,0.7406,0.7693,3.3,27,88.32,50
Muhlenberg College,0.4616,14.656,53.637,0.0784,0.8584,0.41,2.8,26.941,110.473,56
