INSTNM,ADM_RATE,NPT4_048_ALL,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
California State Polytechnic University-Pomona,0.5218,8.401,19.402,0.4404,0.5237,0.3883,3.8,18.001,30.962,52
California State University-Chico,0.7161,10.613,22.926,0.3893,0.5605,0.452,7.6,16.5,37.864,45.1
California State University-Dominguez Hills,0.5747,1.946,12.957,0.5862,0.2935,0.4291,11.2,17.2015,25.1995,42.8
California State University-Fresno,0.5815,4.983,16.377,0.5407,0.4859,0.3628,6.5,16.5,28.781,43.2
California State University-Fullerton,0.4579,5.178,16.663,0.4061,0.5347,0.3327,5.6,14.718,31.5,46.5
California State University-East Bay,0.6872,9.575,20.676,0.4426,0.3808,0.3844,5.8,16.312,22.898,51.3
California State University-Long Beach,0.3082,6.672,18.085,0.4733,0.6033,0.393,5.5,15.775,30.725,46.9
California State University-Los Angeles,0.6752,3.845,14.747,0.6447,0.3565,0.3924,7.6,14.125,20.015,44.9
California State University-Northridge,0.4624,9.207,20.899,0.4848,0.4575,0.3636,7.6,15,27.373,44.2
California State University-Sacramento,0.6968,7.652,19.38,0.505,0.4285,0.4153,7.1,17.25,28.449,46.5
University of California-Berkeley,0.18,8.883,32.715,0.3237,0.9103,0.3021,3.8,14.667,39.266,62.7
University of California-Davis,0.4521,9.965,31.803,0.4297,0.8133,0.4467,3.8,15,41.894,57.1
University of California-Irvine,0.4239,8.521,28.98,0.432,0.8585,0.4418,3.1,17.414,50.385,55.8
University of California-Los Angeles,0.2199,9.099,31.474,0.3624,0.9031,0.374,2.2,15.9,34.5575,59.2
University of California-Riverside,0.62,7.935,29.787,0.564,0.6617,0.5688,6.1,19.5,43.0785,48.7
University of California-San Diego,0.375,9.279,29.751,0.4274,0.858,0.4731,2.9,19.266,41.248,59.6
University of California-Santa Barbara,0.4444,9.955,31.913,0.3798,0.807,0.438,4.5,18.057,51.24,52
University of California-Santa Cruz,0.5991,10.442,33.208,0.4459,0.7267,0.5586,5.7,19.7375,58.508,44.6
California Christian College,0.8333,11.734,17.109,0.5429,0.25,0.5429,17.1,NULL,13.057,NULL
California Institute of the Arts,0.2992,37.71,56.435,0.3337,0.5746,0.6211,6.1,29.4,29.4035,32.5
California Maritime Academy,0.748,12.144,22.223,0.3762,0.5871,0.6043,5.8,26,60.3175,81.1
Chapman University,0.4471,24.824,57.02,0.2035,0.761,0.6536,3.5,20.25,53.889,51.8
Concordia University-Irvine,0.9119,20.22,41.233,0.2503,0.6256,0.6231,3.5,21.5,71.434,42.1
San Diego Christian College,0.492,24.456,37.696,0.6475,0.4125,0.8793,8.4,20.249,51.463,34.4
Claremont McKenna College,0.1173,9.073,60.065,0.1163,0.9254,0.0862,0,14,88.9865,63.6
Cogswell College,0.7784,19.83,32.243,0.399,0.3125,0.6292,11.9,32.875,48.0655,48.5
Columbia College-Hollywood,0.548,23.569,30.642,0.4847,0.4912,0.7604,7.8,31,38.841,NULL
Design Institute of San Diego,NULL,23.764,29.477,0.5784,0.6667,0.7402,4.5,38.087,34.299,33.9
Dominican University of California,0.7752,26.491,56.165,0.3232,0.5387,0.8516,4.7,27,54.367,51.4
Fresno Pacific University,0.7844,12.657,33.973,0.5761,0.5412,0.6928,5.9,19.205,44.9315,39.7
Golden Gate University-San Francisco,NULL,NULL,NULL,0.3474,NULL,0.5912,3.5,28.1175,29.724,64.2
Harvey Mudd College,0.1817,8.863,60.613,0.1314,0.9082,0.4413,0,25.696,86.1645,78.6
Holy Names University,0.5668,9.725,46.994,0.4618,0.3548,0.8124,5.9,30.75,45.708,50.1
Humboldt State University,0.8018,11.212,23.113,0.5162,0.4004,0.605,11.8,20.25,26.9355,36.2
Humphreys College-Stockton and Modesto Campuses,NULL,14.195,21.029,0.755,0.931,0.922,14.2,29.168,22.573,31.3
John F Kennedy University,NULL,NULL,NULL,0.5127,NULL,0.8618,6.6,25,31.386,39.5
American Jewish University,0.59,39.083,46.466,0.3071,0.8125,0.35,4.3,23.25,54.611,NULL
Life Pacific College,0.7482,15.896,24.492,0.3942,0.5111,0.5427,5.4,20.6,45.853,31.2
The Art Institute of California-Argosy University San Diego,NULL,23.548,30.521,0.6185,0.4254,0.6776,19.4,14.323,39.753,38.2
University of La Verne,0.3895,16.254,45.305,0.4647,0.5928,0.6816,3.8,25,39.519,52.7
Laguna College of Art and Design,0.4327,35.497,39.713,0.4114,0.6333,0.7177,8.4,29.5,47.903,39.8
Southern California Seminary,NULL,NULL,NULL,0.2469,0,0.8642,3.9,NULL,24.866,NULL
La Sierra University,0.4677,19.666,39.842,0.4819,0.4918,0.6943,6.3,27,51.186,41.3
Loma Linda University,NULL,NULL,NULL,0.2904,NULL,0.6732,3.1,21.875,27.587,72.8
The Master's College and Seminary,0.6137,20.307,40.815,0.3051,0.5362,0.5335,2.5,20.5,62.514,40.9
The Art Institute of California-Argosy University San Francisco,NULL,26.353,33.206,0.5993,0.3604,0.8111,19.4,14.323,37.488,38.2
Loyola Marymount University,0.5412,24.537,55.432,0.1923,0.7583,0.4747,3.9,22.2995,76.696,55.6
Menlo College,0.3705,21.289,51.649,0.3333,0.4076,0.591,9.7,23.25,54.828,50.6
Mills College,0.6798,19.907,54.668,0.4674,0.6142,0.7279,5.7,24.5,35.1895,39
Monterey Institute of International Studies,NULL,NULL,NULL,0.3636,NULL,0.5909,1.6,19.5,8.133,53.4
Mount St Mary's College,0.7409,22.699,47.905,0.5875,0.6379,0.9203,5.8,25,39.9735,50.2
The National Hispanic University,NULL,16.106,22.545,0.598,0.4565,0.482,7.6,16.95,30.443,42.9
National University,NULL,21.715,23.859,0.2681,0.3125,0.3903,7,28.4105,36.632,54.8
Newschool of Architecture and Design,0.7949,32.445,43.957,0.6144,0.35,0.7404,11.2,43.417,37.279,NULL
Notre Dame de Namur University,0.872,23.072,47.115,0.4201,0.4792,0.672,5.4,27,55.277,51.3
Occidental College,0.4239,15.024,60.655,0.2131,0.8777,0.5333,2.2,21.5,67.7145,50.1
Otis College of Art and Design,0.4628,26.966,52.397,0.4851,0.5731,0.629,10.2,27,36.748,42
Hope International University,0.4681,21.736,40.303,0.4989,0.4508,0.7576,6.3,25.9495,51.464,35.1
Palo Alto University,NULL,NULL,NULL,0.4588,NULL,0.6235,3.8,NULL,NULL,NULL
Pacific Oaks College,NULL,NULL,NULL,0.639,NULL,0.8636,8,19.375,36.319,39.7
Pacific States University,NULL,30.753,32.14,0.1053,1,0.1053,18.1,NULL,NULL,NULL
Pacific Union College,0.5055,18.276,38.8,0.4393,0.4452,0.8453,5.7,28.334,64.885,48.6
University of the Pacific,0.7265,22.662,52.406,0.4011,0.5669,0.6292,3.5,23.5,40.951,66.4
Pepperdine University,0.3734,17.784,58.772,0.2076,0.8043,0.4412,2.2,27,60.331,61.4
Pitzer College,0.1451,13.021,59.266,0.1614,0.8214,0.3625,3.1,15.088,61.408,45.3
Point Loma Nazarene University,0.6654,23.752,43.06,0.2712,0.7208,0.641,2.5,24.951,78.964,50.3
Pomona College,0.1392,4.935,57.014,0.1686,0.9573,0.1525,0,8.6,63.215,52.6
Westwood College-South Bay,NULL,24.954,29.458,0.8437,0.5974,0.8134,17.6,38.913,25.04,34.2
University of Redlands,0.672,19.619,55.268,0.2497,0.7295,0.6347,3,27,69.769,53.8
Argosy University-San Francisco Bay Area,NULL,22.538,27.325,0.637,NULL,0.7945,19.4,14.323,36.072,38.2
Samuel Merritt University,NULL,NULL,NULL,0.2003,NULL,0.8545,1.3,18.75,20.108,111.5
San Diego State University,0.3121,7.159,20.252,0.3956,0.6616,0.3828,5.2,16.46,37.534,48.7
University of San Diego,0.4885,21.448,56.346,0.1807,0.7502,0.4259,2.8,22.5,69.8735,56.3
San Francisco Art Institute,0.8269,40.558,55.809,0.3267,0.2881,1,4.3,24,28.394,24.6
San Francisco Conservatory of Music,0.3986,22.476,52.26,0.3333,0.6852,0.5806,3.1,27,67.523,NULL
San Francisco State University,0.6379,10.562,22.267,0.4239,0.455,0.3997,7.2,17.775,29.962,46.9
University of San Francisco,0.6129,23.706,55.812,0.2625,0.6901,0.5115,5.3,25,70.581,61
William Jessup University,0.6929,13.012,34.811,0.4743,0.5614,0.8951,4.4,21.5,56.144,38.6
San Jose State University,0.6347,10.161,21.16,0.3955,0.4809,0.3548,4.8,16.251,27.8535,54.6
Westwood College-Los Angeles,NULL,24.908,29.745,0.7521,0.35,0.8656,21.1,37.6555,17.6025,32.2
Santa Clara University,0.5122,22.71,57.213,0.1389,0.8401,0.3726,2.9,20.5,100.259,67.7
Scripps College,0.357,20.03,58.888,0.1323,0.8414,0.3683,1,13.4875,79.296,47.2
Shasta Bible College and Graduate School,1,18.832,24.984,0.7925,0.3125,0.3585,0,NULL,19.742,NULL
Simpson University,0.555,13.909,33.889,0.5635,0.4724,0.9457,5.5,16.676,44.207,33.7
Saint Mary's College of California,0.6947,27.837,56.5,0.3267,0.675,0.5307,4.6,25,65.861,59
Sonoma State University,0.8186,11.506,23.675,0.2968,0.5392,0.4143,5.7,18.75,46.028,45.6
South Baylo University,NULL,NULL,NULL,0.3385,NULL,0.2846,15.7,12.667,7.732,21.6
Vanguard University of Southern California,0.6977,19.026,41.952,0.3797,0.5232,0.7302,4.9,25,67.855,38.8
Southern California Institute of Architecture,0.8667,37.313,50.373,0.4906,0.5,0.5472,9.7,39.5,20.582,NULL
University of Southern California,0.1984,16.729,59.787,0.2308,0.9117,0.3826,1.8,22.8415,42.938,66.1
Thomas Aquinas College,0.7921,17.977,35.056,0.3568,0.7955,0.7486,1.1,15.75,86.948,NULL
Walden University,NULL,NULL,NULL,0.48,NULL,0.7288,7.8,31.876,42.8805,54.9
Westmont College,0.7016,22.543,51.76,0.2092,0.7577,0.5517,5.1,23.25,96.799,48.3
Whittier College,0.6325,15.985,49.92,0.3551,0.6677,0.6934,6.2,26,75.319,45.1
Woodbury University,0.5575,21.898,42.465,0.4852,0.4465,0.6741,7.6,31,35.3345,45.6
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,1,6.425,23.85,0.589,0.1667,0,0,NULL,40.2475,NULL
Adams State University,0.526,14.656,17.759,0.5029,0.227,0.629,9.3,NULL,34.243,33.2
University of Colorado Denver,0.7587,10.322,18.822,0.2777,0.4129,0.3877,5,22.995,36.176,73.8
University of Colorado Colorado Springs,0.91,9.954,16.707,0.3222,0.4598,0.5042,2.7,21,48.42,41.2
University of Colorado Boulder,0.8771,15.288,27.854,0.1722,0.6969,0.3298,4.7,19.5,73.526,48
Colorado Christian University,0.9764,21.823,36.956,0.4139,0.3726,0.647,6.2,25.351,54.471,40.5
Colorado College,0.2228,12.034,54.2,0.0983,0.8721,0.3333,3,18.0495,73.379,41.1
The Art Institute of Colorado,NULL,24.962,30.664,0.5223,0.3765,0.7743,18.7,28.902,39.5705,32.4
Colorado School of Mines,0.3743,20.357,29.091,0.1754,0.6969,0.4771,1.9,26.025,74.554,74.7
Colorado State University-Fort Collins,0.7743,10.257,21.823,0.2571,0.6383,0.4739,4.8,21.25,69.107,44.3
Colorado Technical University-Colorado Springs,NULL,18.129,23.475,0.4436,0.2174,0.6049,19.4,35.5,29.262,44.1
Westwood College-Denver North,NULL,19.523,24.309,0.7626,0.3231,0.8,16,38.7475,30.9325,35
University of Denver,0.7673,22.218,53.614,0.1856,0.7752,0.3973,1.9,24.5,55.9975,51.4
Fort Lewis College,0.875,11.381,19.565,0.3175,0.3662,0.4633,7.2,20,47.128,34
Colorado Mesa University,0.8212,13.631,18.077,0.4025,0.3005,0.576,16,22,40.837,34.6
Metropolitan State University of Denver,0.7116,8.905,14.034,0.3851,0.2597,0.512,13.4,25,32.755,38.6
Naropa University,0.7975,22.475,42.575,0.4726,0.4091,0.5821,4,25,23.027,18.6
National American University-Colorado Springs,NULL,NULL,NULL,0.6022,0.2222,0.6218,21.4,34.486,29.3415,37.8
Nazarene Bible College,NULL,NULL,25.95,0.4455,0.25,0.4958,11.9,30.457,38.404,34.5
University of Northern Colorado,0.6957,14.644,19.105,0.3514,0.4638,0.592,5.9,22.461,69.484,39
Regis University,0.6986,16.935,43.058,0.2602,0.5807,0.5635,3.2,25,53.5785,53.1
Rocky Mountain College of Art and Design,NULL,25.509,39.272,0.3632,0.4876,0.696,6.8,29.688,61.6655,28.1
Colorado State University-Pueblo,0.9434,11.148,18.007,0.4132,0.3306,0.5624,13.9,21.199,38.635,36.2
Western State Colorado University,0.932,11.664,18.875,0.3143,0.4242,0.2279,5.5,20.4975,60.0625,36.5
Albertus Magnus College,0.6821,21.389,41.52,0.5811,0.6063,0.7824,7,29,50.0625,52.2
University of Bridgeport,0.6385,21.447,45.64,0.4859,0.281,0.7347,9.1,28.25,36.73,40.6
Central Connecticut State University,0.6413,12.655,20.372,0.3335,0.5191,0.5918,8,22.894,66.7995,43.7
Charter Oak State College,NULL,NULL,NULL,0.2597,NULL,0.337,7.2,18,32.8365,39.8
Connecticut College,0.3585,9.63,58.69,0.1298,0.8354,0.3998,3,24.05,94.16,51
University of Connecticut,0.5366,13.429,25.786,0.2088,0.8323,0.5013,3.8,21.5,86.51,53.9
Eastern Connecticut State University,0.6453,14.873,22.633,0.2644,0.508,0.6099,5.8,23,76.549,42.4
Fairfield University,0.7116,26.067,56.628,0.1531,0.8207,0.5112,0.9,26.778,116.85,69
University of Hartford,0.6173,25.81,47.368,0.264,0.5871,0.6656,5.6,27,85.192,45.9
